Ssn,TestTrial,Cond,Order,Study2Trial,Cue,Target,Resp,Corr,RT,BlockNum,RespType,nCorr,NoRec,Incorr,SimpleResp,Expt
1,1,1,2,2,51,smaller,no,2,11.875,2,8,0,1,0,8,1
1,2,1,1,7,97,always,always,1,4.094,2,1,1,0,0,1,1
1,3,1,1,8,63,growing,growing,1,2.234,2,1,1,0,0,1,1
1,4,2,1,4,55,actions,actions,1,4.938,2,1,1,0,0,1,1
1,5,1,2,9,39,church,church,1,2.454,2,1,1,0,0,1,1
1,6,2,1,5,122,join,joins,0,3.766,2,2,1,0,0,1,1
1,7,2,1,6,162,take,takes,0,2.172,2,2,1,0,0,1,1
1,8,1,1,10,113,somewhere,somewhere,1,6.062,2,1,1,0,0,1,1
1,9,1,1,12,28,areas,no,2,2.891,2,8,0,1,0,8,1
1,10,2,2,16,94,final,final,1,3.64,2,1,1,0,0,1,1
1,11,2,2,11,75,movement,movement,1,2.625,2,1,1,0,0,1,1
1,12,2,1,15,148,race,no,2,2.11,2,8,0,1,0,8,1
1,13,1,2,13,93,signal,signals,0,2.86,2,2,1,0,0,1,1
1,14,2,2,14,192,cases,no,2,1.954,2,8,0,1,0,8,1
1,15,1,2,3,89,stood,stood,1,7.766,2,1,1,0,0,1,1
1,16,2,2,1,61,signs,no,2,2.156,2,8,0,1,0,8,1
2,1,1,2,7,197,handle,no,2,4.507,2,8,0,1,0,8,1
2,2,2,1,5,26,natural,no,2,3.004,2,8,0,1,0,8,1
2,3,2,2,10,118,opening,no,2,1.867,2,8,0,1,0,8,1
2,4,1,1,11,128,becomes,opening,0,4.379,2,5,0,0,1,3,1
2,5,1,2,12,73,learned,learned,1,8.929,2,1,1,0,0,1,1
2,6,2,1,8,187,ideal,group,0,2.57,2,5,0,0,1,3,1
2,7,2,1,13,171,group,group,1,3.699,2,1,1,0,0,1,1
2,8,1,2,14,207,struggle,opening,0,3.371,2,5,0,0,1,3,1
2,9,1,1,16,198,found,lost,0,1.932,2,7,0,0,1,3,1
2,10,1,2,15,9,charge,group,0,2.362,2,5,0,0,1,3,1
2,11,1,1,1,76,dust,no,2,3.699,2,8,0,1,0,8,1
2,12,2,2,2,176,gives,no,2,1.211,2,8,0,1,0,8,1
2,13,2,2,3,138,industry,no,2,1.002,2,8,0,1,0,8,1
2,14,2,1,4,89,island,no,2,0.971,2,8,0,1,0,8,1
2,15,1,1,6,22,turned,no,2,2.124,2,8,0,1,0,8,1
2,16,2,2,9,133,John,no,2,0.971,2,8,0,1,0,8,1
3,1,2,1,3,109,stone,taught,0,10.672,2,4,0,0,1,3,1
3,2,2,2,2,207,stated,lips,0,6.703,2,6,0,0,1,3,1
3,3,2,1,1,204,sales,dream,0,3.375,2,4,0,0,1,3,1
3,4,1,2,5,48,dream,no,2,4,2,8,0,1,0,8,1
3,5,1,1,6,208,smile,smile,1,3.125,2,1,1,0,0,1,1
3,6,1,2,7,27,advertising,no,2,9.453,2,8,0,1,0,8,1
3,7,2,1,8,162,final,final,1,3.625,2,1,1,0,0,1,1
3,8,2,2,10,30,putting,no,2,4.906,2,8,0,1,0,8,1
3,9,1,1,11,3,remain,dream,0,6.125,2,3,0,0,1,3,1
3,10,2,2,4,209,strike,no,2,27.219,2,8,0,1,0,8,1
3,11,2,1,12,138,following,no,2,5.843,2,8,0,1,0,8,1
3,12,1,1,13,81,carry,taught,0,5.797,2,4,0,0,1,3,1
3,13,1,2,14,205,different,advertise,0,5.875,2,7,0,0,1,3,1
3,14,1,1,15,99,taught,no,2,4.187,2,8,0,1,0,8,1
3,15,1,2,16,41,activity,no,2,22.407,2,8,0,1,0,8,1
3,16,2,2,9,8,evening,no,2,5.313,2,8,0,1,0,8,1
4,1,1,2,13,18,never,drink,0,21.985,2,3,0,0,1,3,1
4,2,1,1,4,118,still,no,2,8.969,2,8,0,1,0,8,1
4,3,2,2,15,95,heat,heart,0,2.89,2,7,0,0,1,3,1
4,4,1,1,6,167,drink,see,0,13.984,2,7,0,0,1,3,1
4,5,1,2,8,106,unique,number,0,6.187,2,5,0,0,1,3,1
4,6,2,1,9,92,number,no,2,3.266,2,8,0,1,0,8,1
4,7,2,1,16,61,last,baby,0,5.046,2,4,0,0,1,3,1
4,8,1,2,2,110,sure,baby,0,5.766,2,3,0,0,1,3,1
4,9,2,2,5,89,watch,no,2,4.328,2,8,0,1,0,8,1
4,10,2,1,10,178,hearing,no,2,14.032,2,8,0,1,0,8,1
4,11,2,1,12,99,film,movie,0,17.297,2,7,0,0,1,3,1
4,12,2,2,1,55,sign,no,2,3.422,2,8,0,1,0,8,1
4,13,1,1,7,151,gave,gave,1,5.906,2,1,1,0,0,1,1
4,14,2,2,11,30,miss,no,2,3.171,2,8,0,1,0,8,1
4,15,1,1,14,129,baby,unique,0,4.172,2,3,0,0,1,3,1
4,16,1,2,3,173,showing,still,0,8.531,2,3,0,0,1,3,1
5,1,1,2,14,63,serious,serious,1,10.453,2,1,1,0,0,1,1
5,2,1,2,9,99,watch,watch,1,11.079,2,1,1,0,0,1,1
5,3,2,1,15,19,holding,hold,0,9.796,2,2,1,0,0,1,1
5,4,2,2,16,103,hotel,game,0,5.391,2,4,0,0,1,3,1
5,5,1,2,5,131,game,lips,0,7.047,2,3,0,0,1,3,1
5,6,2,2,4,116,increase,born,0,5.484,2,4,0,0,1,3,1
5,7,1,2,10,91,terms,term,0,2.516,2,2,1,0,0,1,1
5,8,1,1,11,98,dance,watch,0,2.25,2,3,0,0,1,3,1
5,9,2,2,2,40,pick,pick,1,11.843,2,1,1,0,0,1,1
5,10,1,1,1,67,liberal,no,2,5.531,2,8,0,1,0,8,1
5,11,2,1,6,172,middle,no,2,8.344,2,8,0,1,0,8,1
5,12,2,1,8,10,choose,no,2,8.5,2,8,0,1,0,8,1
5,13,2,1,3,182,daughter,lips,0,8,2,4,0,0,1,3,1
5,14,1,1,12,130,born,no,2,6.281,2,8,0,1,0,8,1
5,15,1,1,13,153,lips,lips,1,2.64,2,1,1,0,0,1,1
5,16,2,2,7,181,claim,watch,0,2.5,2,4,0,0,1,3,1
6,1,2,1,16,188,bought,mirror,0,6.219,2,7,0,0,1,3,1
6,2,1,1,9,78,lower,lower,1,2.578,2,1,1,0,0,1,1
6,3,2,1,2,12,basis,no,2,11.969,2,8,0,1,0,8,1
6,4,1,1,11,15,goal,goal,1,4.062,2,1,1,0,0,1,1
6,5,2,1,12,177,glass,baby,0,3.703,2,4,0,0,1,3,1
6,6,1,2,6,162,baby,baby,1,1.5,2,1,1,0,0,1,1
6,7,2,2,1,33,daughter,sets,0,2.078,2,4,0,0,1,3,1
6,8,2,2,3,180,anyone,no,2,1.812,2,8,0,1,0,8,1
6,9,2,2,4,189,frame,no,2,1.328,2,8,0,1,0,8,1
6,10,2,1,13,184,address,no,2,1.313,2,8,0,1,0,8,1
6,11,2,2,14,57,attorney,no,2,7.25,2,8,0,1,0,8,1
6,12,1,1,8,87,nuclear,nuclear,1,3.031,2,1,1,0,0,1,1
6,13,1,2,5,44,must,no,2,3.406,2,8,0,1,0,8,1
6,14,1,2,10,161,sets,sets,1,5,2,1,1,0,0,1,1
6,15,1,2,15,51,necessarily,no,2,2.297,2,8,0,1,0,8,1
6,16,1,1,7,107,seat,no,2,3.828,2,8,0,1,0,8,1
7,1,2,1,11,72,morning,no,2,17.266,2,8,0,1,0,8,1
7,2,2,2,3,42,exchange,exchange,1,8.234,2,1,1,0,0,1,1
7,3,1,1,7,3,audience,audience,1,5.984,2,1,1,0,0,1,1
7,4,2,2,10,198,round,round,1,9.234,2,1,1,0,0,1,1
7,5,1,2,12,134,beat,audience,0,8.719,2,3,0,0,1,3,1
7,6,1,1,14,18,editor,no,2,7.312,2,8,0,1,0,8,1
7,7,1,2,15,64,costs,prevent,0,4.766,2,4,0,0,1,3,1
7,8,2,1,5,185,respect,no,2,5.813,2,8,0,1,0,8,1
7,9,2,1,8,70,murder,no,2,7.328,2,8,0,1,0,8,1
7,10,2,2,13,102,occurred,solid,0,2.828,2,6,0,0,1,3,1
7,11,2,2,9,77,court,regular,0,4.469,2,4,0,0,1,3,1
7,12,2,1,16,172,highest,no,2,5.625,2,8,0,1,0,8,1
7,13,1,2,6,97,prevent,no,2,3.25,2,8,0,1,0,8,1
7,14,1,1,1,47,economic,editor,0,4.016,2,4,0,0,1,3,1
7,15,1,1,2,44,regular,no,2,2.921,2,8,0,1,0,8,1
7,16,1,2,4,175,useful,no,2,4.422,2,8,0,1,0,8,1
8,1,2,2,5,131,band,camp,0,6.5,2,4,0,0,1,3,1
8,2,2,2,10,170,list,list,1,3.344,2,1,1,0,0,1,1
