"encodingtask","study_rating","list","testtria","studytria","stim1","stim2","responsecode","subject","cuefreq","targetfreq","bothfreq","CuedRecall","procedure","trial","duration","onset"
2,2,1,2,1,"curving","berth",2,1,"LF","LF","LF",0,"study",1,3000,0
2,2,1,16,2,"moneys","dregs",2,1,"LF","LF","LF",0,"study",2,3000,3000
2,2,1,7,3,"lags","suds",2,1,"LF","LF","LF",0,"study",3,3000,6000
2,2,1,14,4,"ponies","palmed",2,1,"LF","LF","LF",0,"study",4,3000,9000
2,2,1,4,5,"eyeing","snugly",2,1,"LF","LF","LF",0,"study",5,3000,12000
2,2,1,12,6,"drier","raked",1,1,"LF","LF","LF",1,"study",6,3000,15000
2,2,1,17,7,"narrows","forage",2,1,"LF","LF","LF",0,"study",7,3000,18000
2,2,1,5,8,"skidded","naps",2,1,"LF","LF","LF",0,"study",8,3000,21000
2,2,1,3,9,"inflow","cluck",2,1,"LF","LF","LF",0,"study",9,3000,24000
2,2,1,15,10,"stucco","conjoine",2,1,"LF","LF","LF",0,"study",10,3000,27000
2,2,1,20,11,"canteen","fennel",2,1,"LF","LF","LF",0,"study",11,3000,30000
2,2,1,13,12,"lustre","gyms",2,1,"LF","LF","LF",0,"study",12,3000,33000
2,2,1,18,13,"musket","hone",2,1,"LF","LF","LF",0,"study",13,3000,36000
2,2,1,1,14,"furor","faring",0,1,"LF","LF","LF",0,"study",14,3000,39000
2,2,1,19,15,"defied","sorghum",2,1,"LF","LF","LF",0,"study",15,3000,42000
2,2,1,6,16,"pansy","exerts",2,1,"LF","LF","LF",0,"study",16,3000,45000
2,2,1,8,17,"plowed","divan",2,1,"LF","LF","LF",0,"study",17,3000,48000
2,2,1,9,18,"dryness","tactful",2,1,"LF","LF","LF",0,"study",18,3000,51000
2,2,1,11,19,"forts","belated",2,1,"LF","LF","LF",0,"study",19,3000,54000
2,2,1,10,20,"recount","ironed",2,1,"LF","LF","LF",0,"study",20,63000,57000
2,2,1,1,14,"furor",NA,0,1,"LF","LF","LF",0,"test",21,3000,120000
2,2,1,2,1,"curving",NA,2,1,"LF","LF","LF",0,"test",22,3000,123000
2,2,1,3,9,"inflow",NA,2,1,"LF","LF","LF",0,"test",23,3000,126000
2,2,1,4,5,"eyeing",NA,2,1,"LF","LF","LF",0,"test",24,3000,129000
2,2,1,5,8,"skidded",NA,2,1,"LF","LF","LF",0,"test",25,3000,132000
2,2,1,6,16,"pansy",NA,2,1,"LF","LF","LF",0,"test",26,3000,135000
2,2,1,7,3,"lags",NA,2,1,"LF","LF","LF",0,"test",27,3000,138000
2,2,1,8,17,"plowed",NA,2,1,"LF","LF","LF",0,"test",28,3000,141000
2,2,1,9,18,"dryness",NA,2,1,"LF","LF","LF",0,"test",29,3000,144000
2,2,1,10,20,"recount",NA,2,1,"LF","LF","LF",0,"test",30,3000,147000
2,2,1,11,19,"forts",NA,2,1,"LF","LF","LF",0,"test",31,3000,150000
2,2,1,12,6,"drier",NA,1,1,"LF","LF","LF",1,"test",32,3000,153000
2,2,1,13,12,"lustre",NA,2,1,"LF","LF","LF",0,"test",33,3000,156000
2,2,1,14,4,"ponies",NA,2,1,"LF","LF","LF",0,"test",34,3000,159000
2,2,1,15,10,"stucco",NA,2,1,"LF","LF","LF",0,"test",35,3000,162000
2,2,1,16,2,"moneys",NA,2,1,"LF","LF","LF",0,"test",36,3000,165000
2,2,1,17,7,"narrows",NA,2,1,"LF","LF","LF",0,"test",37,3000,168000
2,2,1,18,13,"musket",NA,2,1,"LF","LF","LF",0,"test",38,3000,171000
2,2,1,19,15,"defied",NA,2,1,"LF","LF","LF",0,"test",39,3000,174000
2,2,1,20,11,"canteen",NA,2,1,"LF","LF","LF",0,"test",40,93000,177000
2,6,2,5,1,"sales","charge",0,1,"HF","HF","HF",0,"study",41,3000,270000
2,5,2,17,2,"file","police",1,1,"HF","HF","HF",1,"study",42,3000,273000
2,5,2,3,3,"terms","proud",2,1,"HF","HF","HF",0,"study",43,3000,276000
2,2,2,4,4,"walked","sweet",2,1,"HF","HF","HF",0,"study",44,3000,279000
2,4,2,18,5,"acting","greater",1,1,"HF","HF","HF",1,"study",45,3000,282000
2,2,2,12,6,"watch","warren",2,1,"HF","HF","HF",0,"study",46,3000,285000
2,3,2,15,7,"economic","welcome",2,1,"HF","HF","HF",0,"study",47,3000,288000
2,2,2,1,8,"gives","huge",2,1,"HF","HF","HF",0,"study",48,3000,291000
2,2,2,19,9,"daughter","closed",2,1,"HF","HF","HF",0,"study",49,3000,294000
2,2,2,16,10,"object","avoid",2,1,"HF","HF","HF",0,"study",50,3000,297000
2,2,2,20,11,"labor","inner",2,1,"HF","HF","HF",0,"study",51,3000,3e+05
2,2,2,13,12,"share","block",2,1,"HF","HF","HF",0,"study",52,3000,303000
2,3,2,6,13,"unique","turning",2,1,"HF","HF","HF",0,"study",53,3000,306000
2,2,2,7,14,"actual","notes",2,1,"HF","HF","HF",0,"study",54,3000,309000
2,2,2,2,15,"ought","staff",2,1,"HF","HF","HF",0,"study",55,3000,312000
2,6,2,8,16,"solid","shape",1,1,"HF","HF","HF",1,"study",56,3000,315000
2,3,2,9,17,"maintena","suggest",1,1,"HF","HF","HF",1,"study",57,3000,318000
2,2,2,10,18,"offered","exist",2,1,"HF","HF","HF",0,"study",58,3000,321000
2,2,2,11,19,"travel","tests",2,1,"HF","HF","HF",0,"study",59,3000,324000
2,2,2,14,20,"industry","poetry",1,1,"HF","HF","HF",1,"study",60,63000,327000
2,2,2,1,8,"gives",NA,2,1,"HF","HF","HF",0,"test",61,3000,390000
2,2,2,2,15,"ought",NA,2,1,"HF","HF","HF",0,"test",62,3000,393000
2,5,2,3,3,"terms",NA,2,1,"HF","HF","HF",0,"test",63,3000,396000
2,2,2,4,4,"walked",NA,2,1,"HF","HF","HF",0,"test",64,3000,399000
2,6,2,5,1,"sales",NA,0,1,"HF","HF","HF",0,"test",65,3000,402000
2,3,2,6,13,"unique",NA,2,1,"HF","HF","HF",0,"test",66,3000,405000
2,2,2,7,14,"actual",NA,2,1,"HF","HF","HF",0,"test",67,3000,408000
2,6,2,8,16,"solid",NA,1,1,"HF","HF","HF",1,"test",68,3000,411000
2,3,2,9,17,"maintena",NA,1,1,"HF","HF","HF",1,"test",69,3000,414000
2,2,2,10,18,"offered",NA,2,1,"HF","HF","HF",0,"test",70,3000,417000
2,2,2,11,19,"travel",NA,2,1,"HF","HF","HF",0,"test",71,3000,420000
2,2,2,12,6,"watch",NA,2,1,"HF","HF","HF",0,"test",72,3000,423000
2,2,2,13,12,"share",NA,2,1,"HF","HF","HF",0,"test",73,3000,426000
2,2,2,14,20,"industry",NA,1,1,"HF","HF","HF",1,"test",74,3000,429000
2,3,2,15,7,"economic",NA,2,1,"HF","HF","HF",0,"test",75,3000,432000
2,2,2,16,10,"object",NA,2,1,"HF","HF","HF",0,"test",76,3000,435000
2,5,2,17,2,"file",NA,1,1,"HF","HF","HF",1,"test",77,3000,438000
2,4,2,18,5,"acting",NA,1,1,"HF","HF","HF",1,"test",78,3000,441000
2,2,2,19,9,"daughter",NA,2,1,"HF","HF","HF",0,"test",79,3000,444000
2,2,2,20,11,"labor",NA,2,1,"HF","HF","HF",0,"test",80,93000,447000
2,7,3,17,1,"wild","hoodlum",2,1,"HF","LF","MF",0,"study",81,3000,540000
2,2,3,14,2,"notice","rebuke",2,1,"HF","LF","MF",0,"study",82,3000,543000
2,3,3,19,3,"songs","enzymati",2,1,"HF","LF","MF",0,"study",83,3000,546000
2,3,3,18,4,"going","gully",2,1,"HF","LF","MF",0,"study",84,3000,549000
2,3,3,16,5,"industri","drummed",2,1,"HF","LF","MF",0,"study",85,3000,552000
2,2,3,20,6,"John","biceps",1,1,"HF","LF","MF",1,"study",86,3000,555000
2,3,3,5,7,"clearly","carload",2,1,"HF","LF","MF",0,"study",87,3000,558000
2,2,3,1,8,"number","larks",2,1,"HF","LF","MF",0,"study",88,3000,561000
2,2,3,12,9,"detail","bestow",2,1,"HF","LF","MF",0,"study",89,3000,564000
2,2,3,3,10,"doing","foibles",2,1,"HF","LF","MF",0,"study",90,3000,567000
2,2,3,2,11,"finding","spire",2,1,"HF","LF","MF",0,"study",91,3000,570000
2,2,3,4,12,"picture","fille",2,1,"HF","LF","MF",0,"study",92,3000,573000
2,2,3,6,13,"widely","coaxed",2,1,"HF","LF","MF",0,"study",93,3000,576000
2,3,3,10,14,"crisis","befall",2,1,"HF","LF","MF",0,"study",94,3000,579000
2,2,3,7,15,"pure","imbibed",2,1,"HF","LF","MF",0,"study",95,3000,582000
2,2,3,11,16,"conflict","pears",2,1,"HF","LF","MF",0,"study",96,3000,585000
2,2,3,15,17,"wheel","salted",2,1,"HF","LF","MF",0,"study",97,3000,588000
2,2,3,8,18,"nobody","florid",2,1,"HF","LF","MF",0,"study",98,3000,591000
2,2,3,9,19,"talked","grist",2,1,"HF","LF","MF",0,"study",99,3000,594000
2,2,3,13,20,"estate","soothe",2,1,"HF","LF","MF",0,"study",100,63000,597000
2,2,3,1,8,"number",NA,2,1,"HF","LF","MF",0,"test",101,3000,660000
2,2,3,2,11,"finding",NA,2,1,"HF","LF","MF",0,"test",102,3000,663000
2,2,3,3,10,"doing",NA,2,1,"HF","LF","MF",0,"test",103,3000,666000
2,2,3,4,12,"picture",NA,2,1,"HF","LF","MF",0,"test",104,3000,669000
2,3,3,5,7,"clearly",NA,2,1,"HF","LF","MF",0,"test",105,3000,672000
2,2,3,6,13,"widely",NA,2,1,"HF","LF","MF",0,"test",106,3000,675000
2,2,3,7,15,"pure",NA,2,1,"HF","LF","MF",0,"test",107,3000,678000
2,2,3,8,18,"nobody",NA,2,1,"HF","LF","MF",0,"test",108,3000,681000
2,2,3,9,19,"talked",NA,2,1,"HF","LF","MF",0,"test",109,3000,684000
2,3,3,10,14,"crisis",NA,2,1,"HF","LF","MF",0,"test",110,3000,687000
2,2,3,11,16,"conflict",NA,2,1,"HF","LF","MF",0,"test",111,3000,690000
2,2,3,12,9,"detail",NA,2,1,"HF","LF","MF",0,"test",112,3000,693000
2,2,3,13,20,"estate",NA,2,1,"HF","LF","MF",0,"test",113,3000,696000
2,2,3,14,2,"notice",NA,2,1,"HF","LF","MF",0,"test",114,3000,699000
2,2,3,15,17,"wheel",NA,2,1,"HF","LF","MF",0,"test",115,3000,702000
2,3,3,16,5,"industri",NA,2,1,"HF","LF","MF",0,"test",116,3000,705000
2,7,3,17,1,"wild",NA,2,1,"HF","LF","MF",0,"test",117,3000,708000
2,3,3,18,4,"going",NA,2,1,"HF","LF","MF",0,"test",118,3000,711000
2,3,3,19,3,"songs",NA,2,1,"HF","LF","MF",0,"test",119,3000,714000
2,2,3,20,6,"John",NA,1,1,"HF","LF","MF",1,"test",120,93000,717000
2,2,4,11,1,"stirs","runs",1,1,"LF","HF","MF",1,"study",121,3000,810000
2,2,4,15,2,"caliper","remain",2,1,"LF","HF","MF",0,"study",122,3000,813000
2,3,4,17,3,"cinders","failed",2,1,"LF","HF","MF",0,"study",123,3000,816000
2,2,4,12,4,"ivies","gold",1,1,"LF","HF","MF",1,"study",124,3000,819000
2,7,4,13,5,"poise","civil",2,1,"LF","HF","MF",0,"study",125,3000,822000
2,3,4,16,6,"aloof","earlier",2,1,"LF","HF","MF",0,"study",126,3000,825000
2,3,4,8,7,"garages","signs",1,1,"LF","HF","MF",1,"study",127,3000,828000
2,3,4,2,8,"oxen","slowly",2,1,"LF","HF","MF",0,"study",128,3000,831000
2,3,4,10,9,"amply","projects",0,1,"LF","HF","MF",0,"study",129,3000,834000
2,4,4,3,10,"cleft","dance",1,1,"LF","HF","MF",1,"study",130,3000,837000
2,5,4,7,11,"inlets","opening",1,1,"LF","HF","MF",1,"study",131,3000,840000
2,3,4,18,12,"gaped","garden",1,1,"LF","HF","MF",1,"study",132,3000,843000
2,3,4,19,13,"curbs","fresh",2,1,"LF","HF","MF",0,"study",133,3000,846000
2,6,4,6,14,"ruts","lose",2,1,"LF","HF","MF",0,"study",134,3000,849000
2,5,4,20,15,"sash","serious",2,1,"LF","HF","MF",0,"study",135,3000,852000
2,4,4,4,16,"neared","corps",2,1,"LF","HF","MF",0,"study",136,3000,855000
2,2,4,9,17,"dozed","membersh",2,1,"LF","HF","MF",0,"study",137,3000,858000
2,3,4,14,18,"votive","caught",2,1,"LF","HF","MF",0,"study",138,3000,861000
2,3,4,5,19,"mindful","clean",1,1,"LF","HF","MF",1,"study",139,3000,864000
2,3,4,1,20,"elated","central",2,1,"LF","HF","MF",0,"study",140,63000,867000
2,3,4,1,20,"elated",NA,2,1,"LF","HF","MF",0,"test",141,3000,930000
2,3,4,2,8,"oxen",NA,2,1,"LF","HF","MF",0,"test",142,3000,933000
2,4,4,3,10,"cleft",NA,1,1,"LF","HF","MF",1,"test",143,3000,936000
2,4,4,4,16,"neared",NA,2,1,"LF","HF","MF",0,"test",144,3000,939000
2,3,4,5,19,"mindful",NA,1,1,"LF","HF","MF",1,"test",145,3000,942000
2,6,4,6,14,"ruts",NA,2,1,"LF","HF","MF",0,"test",146,3000,945000
2,5,4,7,11,"inlets",NA,1,1,"LF","HF","MF",1,"test",147,3000,948000
2,3,4,8,7,"garages",NA,1,1,"LF","HF","MF",1,"test",148,3000,951000
2,2,4,9,17,"dozed",NA,2,1,"LF","HF","MF",0,"test",149,3000,954000
2,3,4,10,9,"amply",NA,0,1,"LF","HF","MF",0,"test",150,3000,957000
2,2,4,11,1,"stirs",NA,1,1,"LF","HF","MF",1,"test",151,3000,960000
2,2,4,12,4,"ivies",NA,1,1,"LF","HF","MF",1,"test",152,3000,963000
2,7,4,13,5,"poise",NA,2,1,"LF","HF","MF",0,"test",153,3000,966000
2,3,4,14,18,"votive",NA,2,1,"LF","HF","MF",0,"test",154,3000,969000
2,2,4,15,2,"caliper",NA,2,1,"LF","HF","MF",0,"test",155,3000,972000
2,3,4,16,6,"aloof",NA,2,1,"LF","HF","MF",0,"test",156,3000,975000
2,3,4,17,3,"cinders",NA,2,1,"LF","HF","MF",0,"test",157,3000,978000
2,3,4,18,12,"gaped",NA,1,1,"LF","HF","MF",1,"test",158,3000,981000
2,3,4,19,13,"curbs",NA,2,1,"LF","HF","MF",0,"test",159,3000,984000
