"encodingtask","study_rating","cond","testtria","studytria","stim1","stim2","responsecode","response","list","subject","cuefreq","targetfreq","bothfreq","CuedRecall","procedure","trial","duration","onset"
1,9,3,2,1,"moving","ragging",2,"no",1,1,"HF","LF","MF",0,"study",1,3000,0
1,4,2,4,2,"sides","show",2,"no",1,1,"HF","HF","HF",0,"study",2,3000,3000
1,7,4,13,3,"roadway","affairs",2,NA,1,1,"LF","HF","MF",0,"study",3,3000,6000
1,1,4,5,4,"hurling","cell",1,"cell phone",1,1,"LF","HF","MF",1,"study",4,3000,9000
1,8,3,20,5,"lord","pansy",0,"shocking",1,1,"HF","LF","MF",0,"study",5,3000,12000
1,5,2,16,6,"worked","stock",2,"no",1,1,"HF","HF","HF",0,"study",6,3000,15000
1,1,3,1,7,"doing","loath",2,"no",1,1,"HF","LF","MF",0,"study",7,3000,18000
1,3,2,10,8,"year","writer",2,"no",1,1,"HF","HF","HF",0,"study",8,3000,21000
1,9,4,3,9,"burly","explain",2,"no",1,1,"LF","HF","MF",0,"study",9,3000,24000
1,5,4,15,10,"recount","bright",0,"chapter",1,1,"LF","HF","MF",0,"study",10,3000,27000
1,9,1,6,11,"belated","limber",2,"no",1,1,"LF","LF","LF",0,"study",11,3000,30000
1,9,3,11,12,"afraid","impinge",0,"ebbing",1,1,"HF","LF","MF",0,"study",12,3000,33000
1,6,4,14,13,"skidded","chance",2,"no",1,1,"LF","HF","MF",0,"study",13,3000,36000
1,1,2,17,14,"chapter","easier",2,"no",1,1,"HF","HF","HF",0,"study",14,3000,39000
1,9,2,7,15,"shoulder","demand",1,"demand",1,1,"HF","HF","HF",1,"study",15,3000,42000
1,9,1,8,16,"dogged","doting",2,NA,1,1,"LF","LF","LF",0,"study",16,3000,45000
1,2,1,9,17,"monasterie","mocked",2,"no",1,1,"LF","LF","LF",0,"study",17,3000,48000
1,9,1,12,18,"catsup","massed",0,"shock",1,1,"LF","LF","LF",0,"study",18,3000,51000
1,9,3,18,19,"cold","ebbing",2,"no",1,1,"HF","LF","MF",0,"study",19,3000,54000
1,7,1,19,20,"elated","foyer",2,"no",1,1,"LF","LF","LF",0,"study",20,63000,57000
1,1,3,1,7,"doing",NA,2,"no",1,1,"HF","LF","MF",0,"test",21,3000,120000
1,9,3,2,1,"moving",NA,2,"no",1,1,"HF","LF","MF",0,"test",22,3000,123000
1,9,4,3,9,"burly",NA,2,"no",1,1,"LF","HF","MF",0,"test",23,3000,126000
1,4,2,4,2,"sides",NA,2,"no",1,1,"HF","HF","HF",0,"test",24,3000,129000
1,1,4,5,4,"hurling",NA,1,"cell phone",1,1,"LF","HF","MF",1,"test",25,3000,132000
1,9,1,6,11,"belated",NA,2,"no",1,1,"LF","LF","LF",0,"test",26,3000,135000
1,9,2,7,15,"shoulder",NA,1,"demand",1,1,"HF","HF","HF",1,"test",27,3000,138000
1,9,1,8,16,"dogged",NA,2,NA,1,1,"LF","LF","LF",0,"test",28,3000,141000
1,2,1,9,17,"monasterie",NA,2,"no",1,1,"LF","LF","LF",0,"test",29,3000,144000
1,3,2,10,8,"year",NA,2,"no",1,1,"HF","HF","HF",0,"test",30,3000,147000
1,9,3,11,12,"afraid",NA,0,"ebbing",1,1,"HF","LF","MF",0,"test",31,3000,150000
1,9,1,12,18,"catsup",NA,0,"shock",1,1,"LF","LF","LF",0,"test",32,3000,153000
1,7,4,13,3,"roadway",NA,2,NA,1,1,"LF","HF","MF",0,"test",33,3000,156000
1,6,4,14,13,"skidded",NA,2,"no",1,1,"LF","HF","MF",0,"test",34,3000,159000
1,5,4,15,10,"recount",NA,0,"chapter",1,1,"LF","HF","MF",0,"test",35,3000,162000
1,5,2,16,6,"worked",NA,2,"no",1,1,"HF","HF","HF",0,"test",36,3000,165000
1,1,2,17,14,"chapter",NA,2,"no",1,1,"HF","HF","HF",0,"test",37,3000,168000
1,9,3,18,19,"cold",NA,2,"no",1,1,"HF","LF","MF",0,"test",38,3000,171000
1,7,1,19,20,"elated",NA,2,"no",1,1,"LF","LF","LF",0,"test",39,3000,174000
1,8,3,20,5,"lord",NA,0,"shocking",1,1,"HF","LF","MF",0,"test",40,93000,177000
1,6,2,13,1,"estate","deep",0,"rigged",2,1,"HF","HF","HF",0,"study",41,3000,270000
1,9,1,14,2,"epics","corked",2,"no",2,1,"LF","LF","LF",0,"study",42,3000,273000
1,3,2,15,3,"felt","economy",2,"no",2,1,"HF","HF","HF",0,"study",43,3000,276000
1,6,3,18,4,"establish","ringed",2,"no",2,1,"HF","LF","MF",0,"study",44,3000,279000
1,5,4,9,5,"homers","probably",2,"no",2,1,"LF","HF","MF",0,"study",45,3000,282000
1,1,2,8,6,"horse","follow",1,"follow",2,1,"HF","HF","HF",1,"study",46,3000,285000
1,8,1,10,7,"plows","mopped",1,"mopping",2,1,"LF","LF","LF",1,"study",47,3000,288000
1,2,2,11,8,"favor","facts",2,"no",2,1,"HF","HF","HF",0,"study",48,3000,291000
1,8,4,12,9,"rinsing","camp",2,"no",2,1,"LF","HF","MF",0,"study",49,3000,294000
1,9,4,19,10,"batted","purposes",2,"no",2,1,"LF","HF","MF",0,"study",50,3000,297000
1,9,3,20,11,"avoid","caked",2,"no",2,1,"HF","LF","MF",0,"study",51,3000,3e+05
1,9,1,16,12,"misstep","allay",0,"catsup",2,1,"LF","LF","LF",0,"study",52,3000,303000
1,7,2,17,13,"nation","items",0,"fell",2,1,"HF","HF","HF",0,"study",53,3000,306000
1,7,4,1,14,"crests","phase",2,"no",2,1,"LF","HF","MF",0,"study",54,3000,309000
1,5,3,2,15,"fell","blots",2,"no",2,1,"HF","LF","MF",0,"study",55,3000,312000
1,9,3,3,16,"league","gashes",0,"glamor",2,1,"HF","LF","MF",0,"study",56,3000,315000
1,9,1,4,17,"jocular","alveolar",1,"alveocular",2,1,"LF","LF","LF",1,"study",57,3000,318000
1,2,4,5,18,"giddy","picked",2,"no",2,1,"LF","HF","MF",0,"study",58,3000,321000
1,6,3,6,19,"fair","rustle",2,"no",2,1,"HF","LF","MF",0,"study",59,3000,324000
1,3,1,7,20,"kickoff","glamor",2,"no",2,1,"LF","LF","LF",0,"study",60,63000,327000
1,7,4,1,14,"crests",NA,2,"no",2,1,"LF","HF","MF",0,"test",61,3000,390000
1,5,3,2,15,"fell",NA,2,"no",2,1,"HF","LF","MF",0,"test",62,3000,393000
1,9,3,3,16,"league",NA,0,"glamor",2,1,"HF","LF","MF",0,"test",63,3000,396000
1,9,1,4,17,"jocular",NA,1,"alveocular",2,1,"LF","LF","LF",1,"test",64,3000,399000
1,2,4,5,18,"giddy",NA,2,"no",2,1,"LF","HF","MF",0,"test",65,3000,402000
1,6,3,6,19,"fair",NA,2,"no",2,1,"HF","LF","MF",0,"test",66,3000,405000
1,3,1,7,20,"kickoff",NA,2,"no",2,1,"LF","LF","LF",0,"test",67,3000,408000
1,1,2,8,6,"horse",NA,1,"follow",2,1,"HF","HF","HF",1,"test",68,3000,411000
1,5,4,9,5,"homers",NA,2,"no",2,1,"LF","HF","MF",0,"test",69,3000,414000
1,8,1,10,7,"plows",NA,1,"mopping",2,1,"LF","LF","LF",1,"test",70,3000,417000
1,2,2,11,8,"favor",NA,2,"no",2,1,"HF","HF","HF",0,"test",71,3000,420000
