"encodingTASK","studyorder","studyrating","newSS","cond","testtria","studytria","stim1","stim2","newresp","response","whichblockfirst","cv","subject","cuefreq","targetfreq","bothfreq","acc","procedure","trial","duration","onset","list"
2,1,2,1,1,3,1,"strategy","sensation",2,"no",1,"HCV",1,"LF","LF","LF",0,"study",1,2750,0,1
2,2,4,1,1,16,2,"farmland","faculty",2,"no",1,"HCV",1,"LF","LF","LF",0,"study",2,2750,2750,1
2,1,5,1,1,11,3,"emotion","driveway",1,"driveway",1,"HCV",1,"LF","LF","LF",1,"study",3,2750,5500,1
2,1,7,1,1,4,4,"agony","abdomen",1,"abdomen",1,"HCV",1,"LF","LF","LF",1,"study",4,2750,8250,1
2,2,1,1,1,18,5,"construct","conspiracy",2,"no",1,"HCV",1,"LF","LF","LF",0,"study",5,2750,11000,1
2,2,1,1,1,5,6,"apron","aisle",0,"apple",1,"HCV",1,"LF","LF","LF",0,"study",6,2750,13750,1
2,2,1,1,1,6,7,"cafeteria","burial",2,"no",1,"HCV",1,"LF","LF","LF",0,"study",7,2750,16500,1
2,1,1,1,1,1,8,"corridor","convenience",2,"no",1,"HCV",1,"LF","LF","LF",0,"study",8,2750,19250,1
2,2,3,1,1,8,9,"dealer","cupboard",1,"cupboard",1,"HCV",1,"LF","LF","LF",1,"study",9,2750,22000,1
2,1,4,1,1,12,10,"conjunction","chaos",2,"no",1,"HCV",1,"LF","LF","LF",0,"study",10,2750,24750,1
2,1,8,1,1,13,11,"disability","diagnosis",2,"no",1,"HCV",1,"LF","LF","LF",0,"study",11,2750,27500,1
2,1,4,1,1,14,12,"attorney","attachment",0,"affection",1,"HCV",1,"LF","LF","LF",0,"study",12,2750,30250,1
2,2,1,1,1,15,13,"dominance","disposal",2,"no",1,"HCV",1,"LF","LF","LF",0,"study",13,2750,33000,1
2,1,1,1,1,7,14,"tavern","talent",1,"talent",1,"HCV",1,"LF","LF","LF",1,"study",14,2750,35750,1
2,2,1,1,1,10,15,"tragedy","trader",2,"no",1,"HCV",1,"LF","LF","LF",0,"study",15,2750,38500,1
2,1,1,1,1,17,16,"underside","transition",2,"no",1,"HCV",1,"LF","LF","LF",0,"study",16,2750,41250,1
2,2,1,1,1,2,17,"wrist","violation",0,"injury",1,"HCV",1,"LF","LF","LF",0,"study",17,2750,44000,1
2,2,1,1,1,9,18,"surgeon","summit",2,"no",1,"HCV",1,"LF","LF","LF",0,"study",18,62750,46750,1
2,1,1,1,1,1,8,"corridor",NA,2,"no",1,"HCV",1,"LF","LF","LF",0,"test",19,2750,109500,1
2,2,1,1,1,2,17,"wrist",NA,0,"injury",1,"HCV",1,"LF","LF","LF",0,"test",20,2750,112250,1
2,1,2,1,1,3,1,"strategy",NA,2,"no",1,"HCV",1,"LF","LF","LF",0,"test",21,2750,115000,1
2,1,7,1,1,4,4,"agony",NA,1,"abdomen",1,"HCV",1,"LF","LF","LF",1,"test",22,2750,117750,1
2,2,1,1,1,5,6,"apron",NA,0,"apple",1,"HCV",1,"LF","LF","LF",0,"test",23,2750,120500,1
2,2,1,1,1,6,7,"cafeteria",NA,2,"no",1,"HCV",1,"LF","LF","LF",0,"test",24,2750,123250,1
2,1,1,1,1,7,14,"tavern",NA,1,"talent",1,"HCV",1,"LF","LF","LF",1,"test",25,2750,126000,1
2,2,3,1,1,8,9,"dealer",NA,1,"cupboard",1,"HCV",1,"LF","LF","LF",1,"test",26,2750,128750,1
2,2,1,1,1,9,18,"surgeon",NA,2,"no",1,"HCV",1,"LF","LF","LF",0,"test",27,2750,131500,1
2,2,1,1,1,10,15,"tragedy",NA,2,"no",1,"HCV",1,"LF","LF","LF",0,"test",28,2750,134250,1
2,1,5,1,1,11,3,"emotion",NA,1,"driveway",1,"HCV",1,"LF","LF","LF",1,"test",29,2750,137000,1
2,1,4,1,1,12,10,"conjunction",NA,2,"no",1,"HCV",1,"LF","LF","LF",0,"test",30,2750,139750,1
2,1,8,1,1,13,11,"disability",NA,2,"no",1,"HCV",1,"LF","LF","LF",0,"test",31,2750,142500,1
2,1,4,1,1,14,12,"attorney",NA,0,"affection",1,"HCV",1,"LF","LF","LF",0,"test",32,2750,145250,1
