"","subject","stim1","stim2","freq","type","procedure","trial","rt","source","freq_prioritem1","freq_prioritem","freq_prioritem2","freq_prioritem3","freq_consec_value","freq_consec_lab","resp","rem","fam","new","acc","duration","onset","list"
"1",1,"orange.pict","TWEED","Low",NA,"study",1,513,"original",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,"1"
"2",1,"refrigerator.pict","WHEEL","High",NA,"study",2,529,"original","Low","Low",NA,NA,-0.5,"Low1",NA,NA,NA,NA,NA,2029,2013,"1"
"3",1,"apple.pict","STAFF","High",NA,"study",3,589,"original","High","High","Low",NA,0.5,"High1",NA,NA,NA,NA,NA,2089,4042,"1"
"4",1,"knife.pict","FAMILY","High",NA,"study",4,485,"original","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,1985,6131,"1"
"5",1,"stove.pict","STEEPLE","Low",NA,"study",5,718,"original","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,2218,8116,"1"
"6",1,"table.pict","VAULT","Low",NA,"study",6,509,"original","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2009,10334,"1"
"7",1,"grill.pict","SCHOOL","High",NA,"study",7,776,"original","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,2276,12343,"1"
"8",1,"cat.pict","MOUTH","High",NA,"study",8,453,"original","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,1953,14619,"1"
"9",1,"iron.pict","RACKET","Low",NA,"study",9,447,"original","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,1947,16572,"1"
"10",1,"pencil.pict","CROWD","High",NA,"study",10,557,"original","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2057,18519,"1"
"11",1,"baby.pict","LIBRARY","High",NA,"study",11,521,"original","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,2021,20576,"1"
"12",1,"squash.pict","BOULDER","Low",NA,"study",12,584,"original","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,2084,22597,"1"
"13",1,"bowl.pict","CHIEF","High",NA,"study",13,630,"original","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2130,24681,"1"
"14",1,"strawberry2.pict","OFFICE","High",NA,"study",14,476,"original","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,1976,26811,"1"
"15",1,"gloves.pict","DINNER","High",NA,"study",15,484,"original","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,1984,28787,"1"
"16",1,"basket.pict","MINSTREL","Low",NA,"study",16,502,"original","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,2002,30771,"1"
"17",1,"umbrella.pict","MARKET","High",NA,"study",17,490,"original","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,1990,32773,"1"
"18",1,"owl.pict","HOSPITAL","High",NA,"study",18,484,"original","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,1984,34763,"1"
"19",1,"earth.pict","SQUARE","High",NA,"study",19,639,"original","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,2139,36747,"1"
"20",1,"pot2.pict","PASTE","Low",NA,"study",20,455,"original","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,1955,38886,"1"
"21",1,"spoon.pict","BAYONET","Low",NA,"study",21,507,"original","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2007,40841,"1"
"22",1,"egg.pict","MORPHINE","Low",NA,"study",22,479,"original","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,1979,42848,"1"
"23",1,"skates.pict","POISON","Low",NA,"study",23,549,"original","Low","Low","Low","Low",-2.5,"Low3",NA,NA,NA,NA,NA,2049,44827,"1"
"24",1,"sock.pict","BLOCK","High",NA,"study",24,482,"original","Low","Low","Low","Low",-3.5,"Low4",NA,NA,NA,NA,NA,1982,46876,"1"
"25",1,"basketball.pict","TAILOR","Low",NA,"study",25,491,"original","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,1991,48858,"1"
"26",1,"camera.pict","COLLEGE","High",NA,"study",26,483,"original","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,1983,50849,"1"
"27",1,"cup.pict","HARNESS","Low",NA,"study",27,561,"original","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,2061,52832,"1"
"28",1,"calculator.pict","GROUND","High",NA,"study",28,468,"original","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,1968,54893,"1"
"29",1,"car.pict","STRIPE","Low",NA,"study",29,578,"original","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,2078,56861,"1"
"30",1,"lighthouse.pict","MALARIA","Low",NA,"study",30,503,"original","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,2003,58939,"1"
"31",1,"tiger.pict","BANKER","Low",NA,"study",31,445,"original","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,1945,60942,"1"
"32",1,"duck.pict","COLUMN","High",NA,"study",32,463,"original","Low","Low","Low","Low",-2.5,"Low3",NA,NA,NA,NA,NA,1963,62887,"1"
"33",1,"bottle2.pict","MAPLE","Low",NA,"study",33,478,"original","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,1978,64850,"1"
"34",1,"dog.pict","MIXER","Low",NA,"study",34,396,"original","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,1896,66828,"1"
"35",1,"shoes.pict","MACHINE","High",NA,"study",35,388,"original","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,1888,68724,"1"
"36",1,"bacon.pict","COURT","High",NA,"study",36,533,"original","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,2033,70612,"1"
"37",1,"salad.pict","SPRING","High",NA,"study",37,623,"original","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,2123,72645,"1"
"38",1,"elephant.pict","NOZZLE","Low",NA,"study",38,506,"original","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,2006,74768,"1"
"39",1,"pig.pict","LEAFLET","Low",NA,"study",39,570,"original","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2070,76774,"1"
"40",1,"binoculars.pict","SATIN","Low",NA,"study",40,642,"original","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,2142,78844,"1"
"41",1,"cow.pict",NA,NA,"new","test",41,1830,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,3330,380986,"1"
"42",1,"calculator.pict",NA,"High","old","test",42,1741,"original","Low","Low","High","Low",-0.5,"Low1","REM",1,0,0,1,3241,384316,"1"
"43",1,"avocado.pict",NA,NA,"new","test",43,1553,NA,NA,NA,NA,NA,NA,NA,"REM",1,0,0,0,3053,387557,"1"
"44",1,"strawberry2.pict",NA,"High","old","test",44,801,"original","High","High","Low","High",0.5,"High1","REM",1,0,0,1,2301,390610,"1"
"45",1,"butterfly.pict",NA,NA,"new","test",45,670,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2170,392911,"1"
"46",1,"salad.pict",NA,"High","old","test",46,1531,"original","High","High","High","Low",1.5,"High2","NEW",0,0,1,0,3031,395081,"1"
"47",1,"table.pict",NA,"Low","old","test",47,1683,"original","Low","Low","High","High",-0.5,"Low1","REM",1,0,0,1,3183,398112,"1"
"48",1,"egg.pict",NA,"Low","old","test",48,990,"original","Low","Low","Low","High",-1.5,"Low2","REM",1,0,0,1,2490,401295,"1"
"49",1,"bowl.pict",NA,"High","old","test",49,826,"original","Low","Low","High","High",-0.5,"Low1","REM",1,0,0,1,2326,403785,"1"
"50",1,"dice.pict",NA,NA,"new","test",50,1126,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2626,406111,"1"
"51",1,"cat.pict",NA,"High","old","test",51,807,"original","High","High","Low","Low",0.5,"High1","REM",1,0,0,1,2307,408737,"1"
"52",1,"pepper.pict",NA,NA,"new","test",52,2159,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,3659,411044,"1"
"53",1,"computer.pict",NA,NA,"new","test",53,1090,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2590,414703,"1"
"54",1,"guitar.pict",NA,NA,"new","test",54,1024,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2524,417293,"1"
"55",1,"bacon.pict",NA,"High","old","test",55,1010,"original","High","High","Low","Low",0.5,"High1","REM",1,0,0,1,2510,419817,"1"
"56",1,"squash.pict",NA,"Low","old","test",56,878,"original","High","High","High","Low",1.5,"High2","REM",1,0,0,1,2378,422327,"1"
"57",1,"printer.pict",NA,NA,"new","test",57,687,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2187,424705,"1"
"58",1,"dog.pict",NA,"Low","old","test",58,1368,"original","Low","Low","High","Low",-0.5,"Low1","NEW",0,0,1,0,2868,426892,"1"
"59",1,"owl.pict",NA,"High","old","test",59,938,"original","High","High","Low","High",0.5,"High1","REM",1,0,0,1,2438,429760,"1"
"60",1,"mushroom.pict",NA,NA,"new","test",60,965,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2465,432198,"1"
