"subject","group","condition","list","stim1","stim2","free_recall_acc","cued_recall_acc","cue_type","trial","cue_type_prioritem1","cue_type_prioritem2","cue_type_prioritem3","cue_type_prioritem4","cue_type_consec_value","cue_type_consec_lab","procedure","testtria","response","duration","extra","onset"
1,"A","Reh","A1","Kritik","Buch",0,NA,"TBF",1,NA,NA,NA,NA,NA,NA,"study",NA,NA,3000,0,0
1,"A","Reh","A1","Teil","Besen",0,0,"TBR",2,"TBF",NA,NA,NA,-0.5,"TBF1","study",NA,NA,3000,0,3000
1,"A","Reh","A1","Gegenstand","Pferd",0,NA,"TBF",3,"TBR","TBF",NA,NA,0.5,"TBR1","study",NA,NA,3000,0,6000
1,"A","Reh","A1","Stachel","Armee",0,0,"TBR",4,"TBF","TBR","TBF",NA,-0.5,"TBF1","study",NA,NA,3000,0,9000
1,"A","Reh","A1","Volk","Straße",1,1,"TBR",5,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,12000
1,"A","Reh","A1","Stamm","Garten",0,NA,"TBF",6,"TBR","TBR","TBF","TBR",1.5,"TBR2","study",NA,NA,3000,0,15000
1,"A","Reh","A1","Gruppe","Stück",1,1,"TBR",7,"TBF","TBR","TBR","TBF",-0.5,"TBF1","study",NA,NA,3000,0,18000
1,"A","Reh","A1","Zustand","Schnee",0,NA,"TBF",8,"TBR","TBF","TBR","TBR",0.5,"TBR1","study",NA,NA,3000,0,21000
1,"A","Reh","A1","Stimme","Tätigkeit",0,0,"TBR",9,"TBF","TBR","TBF","TBR",-0.5,"TBF1","study",NA,NA,3000,0,24000
1,"A","Reh","A1","Kind","Gericht",0,NA,"TBF",10,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,27000
1,"A","Reh","A1","Ozean","Lehne",0,NA,"TBF",11,"TBF","TBR","TBF","TBR",-0.5,"TBF1","study",NA,NA,3000,0,30000
1,"A","Reh","A1","Verlobung","Augenblick",1,1,"TBR",12,"TBF","TBF","TBR","TBF",-1.5,"TBF2","study",NA,NA,3000,0,33000
1,"A","Reh","A1","Tatsache","Schläger",0,NA,"TBF",13,"TBR","TBF","TBF","TBR",0.5,"TBR1","study",NA,NA,3000,0,36000
1,"A","Reh","A1","Hand","Planet",0,NA,"TBF",14,"TBF","TBR","TBF","TBF",-0.5,"TBF1","study",NA,NA,3000,0,39000
1,"A","Reh","A1","Lösung","Körper",1,1,"TBR",15,"TBF","TBF","TBR","TBF",-1.5,"TBF2","study",NA,NA,3000,0,42000
1,"A","Reh","A1","Ausdruck","Bruder",0,NA,"TBF",16,"TBR","TBF","TBF","TBR",0.5,"TBR1","study",NA,NA,3000,0,45000
1,"A","Reh","A1","Mittel","Zusammenhang",1,1,"TBR",17,"TBF","TBR","TBF","TBF",-0.5,"TBF1","study",NA,NA,3000,0,48000
1,"A","Reh","A1","Rat","Stein",0,NA,"TBF",18,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,51000
1,"A","Reh","A1","Untersuchung","Brücke",0,0,"TBR",19,"TBF","TBR","TBF","TBR",-0.5,"TBF1","study",NA,NA,3000,0,54000
1,"A","Reh","A1","Schutz","Bildung",0,0,"TBR",20,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,57000
1,"A","Reh","A1","Welt","Willen",0,NA,"TBF",21,"TBR","TBR","TBF","TBR",1.5,"TBR2","study",NA,NA,3000,0,60000
1,"A","Reh","A1","Kosten","Jahr",0,NA,"TBF",22,"TBF","TBR","TBR","TBF",-0.5,"TBF1","study",NA,NA,3000,0,63000
1,"A","Reh","A1","Tier","Flasche",1,1,"TBR",23,"TBF","TBF","TBR","TBR",-1.5,"TBF2","study",NA,NA,3000,0,66000
1,"A","Reh","A1","Beispiel","Blut",0,1,"TBR",24,"TBR","TBF","TBF","TBR",0.5,"TBR1","study",NA,NA,3000,0,69000
1,"A","Reh","A1","Stachel",NA,0,0,"TBR",25,"TBF","TBR","TBF",NA,-0.5,"TBF1","test",1,"",3000,60000,132000
1,"A","Reh","A1","Mittel",NA,1,1,"TBR",26,"TBF","TBR","TBF","TBF",-0.5,"TBF1","test",2,"Zusammenhang",3000,0,135000
1,"A","Reh","A1","Schutz",NA,0,0,"TBR",27,"TBR","TBF","TBR","TBF",0.5,"TBR1","test",3,"",3000,0,138000
1,"A","Reh","A1","Tier",NA,1,1,"TBR",28,"TBF","TBF","TBR","TBR",-1.5,"TBF2","test",4,"Flasche",3000,0,141000
1,"A","Reh","A1","Untersuchung",NA,0,0,"TBR",29,"TBF","TBR","TBF","TBR",-0.5,"TBF1","test",5,"",3000,0,144000
1,"A","Reh","A1","Stimme",NA,0,0,"TBR",30,"TBF","TBR","TBF","TBR",-0.5,"TBF1","test",6,"",3000,0,147000
1,"A","Reh","A1","Verlobung",NA,1,1,"TBR",31,"TBF","TBF","TBR","TBF",-1.5,"TBF2","test",7,"Augenblick",3000,0,150000
1,"A","Reh","A1","Lösung",NA,1,1,"TBR",32,"TBF","TBF","TBR","TBF",-1.5,"TBF2","test",8,"Körper",3000,0,153000
1,"A","Reh","A1","Volk",NA,1,1,"TBR",33,"TBR","TBF","TBR","TBF",0.5,"TBR1","test",9,"Straße",3000,0,156000
1,"A","Reh","A1","Beispiel",NA,0,1,"TBR",34,"TBR","TBF","TBF","TBR",0.5,"TBR1","test",10,"Blut",3000,0,159000
1,"A","Reh","A1","Gruppe",NA,1,1,"TBR",35,"TBF","TBR","TBR","TBF",-0.5,"TBF1","test",11,"Stück",3000,0,162000
1,"A","Reh","A1","Teil",NA,0,0,"TBR",36,"TBF",NA,NA,NA,-0.5,"TBF1","test",12,"",3000,0,165000
1,"A","Reh","A2","Schneider","Nacht",1,1,"TBR",1,NA,NA,NA,NA,NA,NA,"study",NA,NA,3000,0,0
1,"A","Reh","A2","Feind","Bewusstsein",0,NA,"TBF",2,"TBR",NA,NA,NA,0.5,"TBR1","study",NA,NA,3000,0,3000
1,"A","Reh","A2","Farbe","Roller",0,1,"TBR",3,"TBF","TBR",NA,NA,-0.5,"TBF1","study",NA,NA,3000,0,6000
1,"A","Reh","A2","Mensch","Rechte",1,0,"TBR",4,"TBR","TBF","TBR",NA,0.5,"TBR1","study",NA,NA,3000,0,9000
1,"A","Reh","A2","Tür","Theorie",0,NA,"TBF",5,"TBR","TBR","TBF","TBR",1.5,"TBR2","study",NA,NA,3000,0,12000
1,"A","Reh","A2","Gefühl","Wert",0,NA,"TBF",6,"TBF","TBR","TBR","TBF",-0.5,"TBF1","study",NA,NA,3000,0,15000
1,"A","Reh","A2","Boden","Gebiet",0,0,"TBR",7,"TBF","TBF","TBR","TBR",-1.5,"TBF2","study",NA,NA,3000,0,18000
1,"A","Reh","A2","Tanne","Geige",0,NA,"TBF",8,"TBR","TBF","TBF","TBR",0.5,"TBR1","study",NA,NA,3000,0,21000
1,"A","Reh","A2","Kopf","Leitung",0,NA,"TBF",9,"TBF","TBR","TBF","TBF",-0.5,"TBF1","study",NA,NA,3000,0,24000
1,"A","Reh","A2","Rede","Vorstellung",0,0,"TBR",10,"TBF","TBF","TBR","TBF",-1.5,"TBF2","study",NA,NA,3000,0,27000
1,"A","Reh","A2","Abschluss","Rathaus",0,0,"TBR",11,"TBR","TBF","TBF","TBR",0.5,"TBR1","study",NA,NA,3000,0,30000
1,"A","Reh","A2","Antrag","Sport",0,NA,"TBF",12,"TBR","TBR","TBF","TBF",1.5,"TBR2","study",NA,NA,3000,0,33000
1,"A","Reh","A2","Erde","Ordnung",0,1,"TBR",13,"TBF","TBR","TBR","TBF",-0.5,"TBF1","study",NA,NA,3000,0,36000
1,"A","Reh","A2","Wirtschaft","Vertrag",1,1,"TBR",14,"TBR","TBF","TBR","TBR",0.5,"TBR1","study",NA,NA,3000,0,39000
1,"A","Reh","A2","Kreis","Erkenntnis",0,NA,"TBF",15,"TBR","TBR","TBF","TBR",1.5,"TBR2","study",NA,NA,3000,0,42000
1,"A","Reh","A2","Kirche","Zimmer",0,NA,"TBF",16,"TBF","TBR","TBR","TBF",-0.5,"TBF1","study",NA,NA,3000,0,45000
