Subject,WordPair,MemCuePost,CuedRecall,FreeRecall_Total_prob
1,Spiegel - Fenster,**VVV**,0,0
1,Wasser - Brief,**VVV**,0,0
1,Beziehung - Wunsch,**VVV**,0,0
1,Rahmen - Abend,**VVV**,0,0
1,Gegner - Musik,**EEE**,0,0
1,Höhe - Kapital,**VVV**,0,0
1,Partei - Herz,**VVV**,0,0
1,Arzt - Klasse,**EEE**,0,0
1,Truppe - Uhr,**VVV**,0,0
1,Himmel - Kraft,**EEE**,1,1
1,Staat - Regierung,**EEE**,1,0.5
1,Haus - System,**EEE**,0,0
1,Zeichen - Sache,**VVV**,0,0
1,Stimme - Tätigkeit,**VVV**,0,0
1,Seele - Presse,**EEE**,0,0
1,Gesicht - Verwaltung,**EEE**,0,0
1,Soldat - Bericht,**EEE**,0,0.5
1,Kosten - Jahr,**VVV**,0,0
1,Liebe - Sprache,**VVV**,0,0.5
1,Zeit - Ventil,**VVV**,0,0
1,Kirche - Zimmer,**EEE**,1,1
1,Tochter - Dienst,**EEE**,0,0
1,Zukunft - Hilfe,**EEE**,0,0
1,Recht - Frage,**EEE**,0,0
2,Spiegel - Fenster,**EEE**,1,1
2,Zukunft - Hilfe,**VVV**,0,0
2,Kirche - Zimmer,**VVV**,1,0
2,Gegner - Musik,**VVV**,0,0
2,Zeichen - Sache,**EEE**,1,1
2,Recht - Frage,**VVV**,1,0
2,Kosten - Jahr,**EEE**,1,0
2,Wasser - Brief,**EEE**,0,0
2,Soldat - Bericht,**VVV**,1,1
2,Liebe - Sprache,**EEE**,0,0.5
2,Rahmen - Abend,**EEE**,0,0
2,Höhe - Kapital,**EEE**,1,0
2,Truppe - Uhr,**EEE**,1,1
2,Zeit - Ventil,**EEE**,0,0
2,Himmel - Kraft,**VVV**,1,1
2,Beziehung - Wunsch,**EEE**,1,1
2,Tochter - Dienst,**VVV**,1,0
2,Partei - Herz,**EEE**,1,1
2,Haus - System,**VVV**,0,0
2,Staat - Regierung,**VVV**,1,1
2,Arzt - Klasse,**VVV**,1,0
2,Gesicht - Verwaltung,**VVV**,1,0.5
2,Stimme - Tätigkeit,**EEE**,0,0
2,Seele - Presse,**VVV**,1,1
3,Arzt - Klasse,**EEE**,1,0
3,Liebe - Sprache,**VVV**,0,0
3,Himmel - Kraft,**EEE**,1,0
3,Kosten - Jahr,**VVV**,0,0
3,Partei - Herz,**VVV**,0,0
3,Haus - System,**EEE**,0,0
3,Gesicht - Verwaltung,**EEE**,0,0
3,Staat - Regierung,**EEE**,1,1
3,Zeit - Ventil,**VVV**,0,0
3,Gegner - Musik,**EEE**,1,0
3,Stimme - Tätigkeit,**VVV**,0,0
3,Soldat - Bericht,**EEE**,0,0
3,Höhe - Kapital,**VVV**,0,0
3,Tochter - Dienst,**EEE**,1,0
3,Rahmen - Abend,**VVV**,0,0
3,Truppe - Uhr,**VVV**,0,0
3,Seele - Presse,**EEE**,0,0
3,Wasser - Brief,**VVV**,0,0
3,Kirche - Zimmer,**EEE**,0,0
3,Spiegel - Fenster,**VVV**,0,0
3,Zukunft - Hilfe,**EEE**,0,0
3,Zeichen - Sache,**VVV**,0,0
3,Beziehung - Wunsch,**VVV**,0,0
3,Recht - Frage,**EEE**,0,0
4,Gegner - Musik,**VVV**,0,0
4,Tochter - Dienst,**VVV**,0,0
4,Zeichen - Sache,**EEE**,0,0
4,Seele - Presse,**VVV**,0,0
4,Liebe - Sprache,**EEE**,0,0
4,Partei - Herz,**EEE**,0,0
4,Spiegel - Fenster,**EEE**,1,0
4,Arzt - Klasse,**VVV**,0,0
4,Wasser - Brief,**EEE**,0,0
4,Himmel - Kraft,**VVV**,0,0
4,Stimme - Tätigkeit,**EEE**,0,0
4,Rahmen - Abend,**EEE**,0,0
4,Beziehung - Wunsch,**EEE**,0,0
4,Kirche - Zimmer,**VVV**,0,0.5
4,Haus - System,**VVV**,0,0
4,Staat - Regierung,**VVV**,0,1
4,Soldat - Bericht,**VVV**,0,0
4,Kosten - Jahr,**EEE**,0,0
4,Truppe - Uhr,**EEE**,0,0.5
4,Zeit - Ventil,**EEE**,0,0.5
4,Höhe - Kapital,**EEE**,0,0.5
4,Recht - Frage,**VVV**,0,0
4,Zukunft - Hilfe,**VVV**,0,0
4,Gesicht - Verwaltung,**VVV**,0,0.5
5,Spiegel - Fenster,**VVV**,1,1
5,Haus - System,**EEE**,1,1
5,Partei - Herz,**VVV**,0,0
5,Soldat - Bericht,**EEE**,1,1
5,Zeichen - Sache,**VVV**,0,0
5,Gegner - Musik,**EEE**,1,1
5,Staat - Regierung,**EEE**,1,0
5,Truppe - Uhr,**VVV**,0,0
5,Kirche - Zimmer,**EEE**,1,0
5,Arzt - Klasse,**EEE**,1,0
5,Gesicht - Verwaltung,**EEE**,0,0
5,Stimme - Tätigkeit,**VVV**,0,0
5,Wasser - Brief,**VVV**,0,0
5,Zeit - Ventil,**VVV**,0,0
5,Seele - Presse,**EEE**,0,0
5,Kosten - Jahr,**VVV**,0,0
5,Zukunft - Hilfe,**EEE**,1,1
5,Rahmen - Abend,**VVV**,0,0
5,Tochter - Dienst,**EEE**,1,1
5,Beziehung - Wunsch,**VVV**,1,0
5,Liebe - Sprache,**VVV**,0,0
5,Höhe - Kapital,**VVV**,0,0
5,Recht - Frage,**EEE**,1,1
5,Himmel - Kraft,**EEE**,0,0
6,Kosten - Jahr,**EEE**,1,1
6,Gesicht - Verwaltung,**VVV**,0,0
6,Beziehung - Wunsch,**EEE**,1,1
6,Zeit - Ventil,**EEE**,1,1
6,Arzt - Klasse,**VVV**,0,0
6,Liebe - Sprache,**EEE**,0,0
6,Tochter - Dienst,**VVV**,0,0
6,Himmel - Kraft,**VVV**,0,0
6,Rahmen - Abend,**EEE**,1,0
6,Staat - Regierung,**VVV**,0,0
6,Seele - Presse,**VVV**,0,0
6,Spiegel - Fenster,**EEE**,1,0
6,Zeichen - Sache,**EEE**,0,0.5
6,Truppe - Uhr,**EEE**,0,0
6,Höhe - Kapital,**EEE**,1,0
6,Kirche - Zimmer,**VVV**,0,0.5
6,Zukunft - Hilfe,**VVV**,0,0
6,Gegner - Musik,**VVV**,1,0
6,Haus - System,**VVV**,0,0
6,Stimme - Tätigkeit,**EEE**,1,1
6,Partei - Herz,**EEE**,1,1
6,Wasser - Brief,**EEE**,1,1
6,Recht - Frage,**VVV**,0,0
6,Soldat - Bericht,**VVV**,0,0
7,Seele - Presse,**EEE**,1,0
7,Soldat - Bericht,**EEE**,1,0.5
7,Spiegel - Fenster,**VVV**,0,0
7,Stimme - Tätigkeit,**VVV**,0,0
7,Höhe - Kapital,**VVV**,0,0
7,Himmel - Kraft,**EEE**,1,1
7,Zeit - Ventil,**VVV**,0,0
7,Gesicht - Verwaltung,**EEE**,0,0
7,Zukunft - Hilfe,**EEE**,0,0.5
7,Beziehung - Wunsch,**VVV**,0,0
7,Arzt - Klasse,**EEE**,1,0
7,Zeichen - Sache,**VVV**,0,0
7,Kosten - Jahr,**VVV**,0,0
7,Kirche - Zimmer,**EEE**,1,0
7,Recht - Frage,**EEE**,1,0
7,Truppe - Uhr,**VVV**,0,0
7,Staat - Regierung,**EEE**,1,1
7,Partei - Herz,**VVV**,0,0
7,Gegner - Musik,**EEE**,1,0
7,Liebe - Sprache,**VVV**,0,0.5
7,Tochter - Dienst,**EEE**,1,1
7,Rahmen - Abend,**VVV**,1,0
7,Haus - System,**EEE**,0,0
7,Wasser - Brief,**VVV**,0,0
8,Spiegel - Fenster,**EEE**,1,1
8,Zukunft - Hilfe,**VVV**,0,0
8,Zeit - Ventil,**EEE**,0,0
8,Staat - Regierung,**VVV**,0,0
8,Stimme - Tätigkeit,**EEE**,0,0
