Subject,Balance,PostMemCue,Condition,Block,WordPair,FreeRecallPair,FreeRecallSingleton,FreeRecallTotal,CuedRecall
1,A,**VVV**,Rehearsal,A1,Kritik - Buch,,,,
1,A,**EEE**,Rehearsal,A1,Teil - Besen,,,,0
1,A,**VVV**,Rehearsal,A1,Gegenstand - Pferd,,,,
1,A,**EEE**,Rehearsal,A1,Stachel - Armee,,,,0
1,A,**EEE**,Rehearsal,A1,Volk - Straße,1,,1,1
1,A,**VVV**,Rehearsal,A1,Stamm - Garten,,,,
1,A,**EEE**,Rehearsal,A1,Gruppe - Stück,1,,1,1
1,A,**VVV**,Rehearsal,A1,Zustand - Schnee,,,,
1,A,**EEE**,Rehearsal,A1,Stimme - Tätigkeit,,,,0
1,A,**VVV**,Rehearsal,A1,Kind - Gericht,,,,
1,A,**VVV**,Rehearsal,A1,Ozean - Lehne,,,,
1,A,**EEE**,Rehearsal,A1,Verlobung - Augenblick,1,,1,1
1,A,**VVV**,Rehearsal,A1,Tatsache - Schläger,,,,
1,A,**VVV**,Rehearsal,A1,Hand - Planet,,,,
1,A,**EEE**,Rehearsal,A1,Lösung - Körper,1,,1,1
1,A,**VVV**,Rehearsal,A1,Ausdruck - Bruder,,,,
1,A,**EEE**,Rehearsal,A1,Mittel - Zusammenhang,1,,1,1
1,A,**VVV**,Rehearsal,A1,Rat - Stein,,,,
1,A,**EEE**,Rehearsal,A1,Untersuchung - Brücke,,,,0
1,A,**EEE**,Rehearsal,A1,Schutz - Bildung,,,,0
1,A,**VVV**,Rehearsal,A1,Welt - Willen,,,,
1,A,**VVV**,Rehearsal,A1,Kosten - Jahr,,,,
1,A,**EEE**,Rehearsal,A1,Tier - Flasche,1,,1,1
1,A,**EEE**,Rehearsal,A1,Beispiel - Blut,,,,1
1,A,**EEE**,Rehearsal,A2,Schneider - Nacht,1,,1,1
1,A,**VVV**,Rehearsal,A2,Feind - Bewusstsein,,,,
1,A,**EEE**,Rehearsal,A2,Farbe - Roller,,,,1
1,A,**EEE**,Rehearsal,A2,Mensch - Rechte,1,,1,0
1,A,**VVV**,Rehearsal,A2,Tür - Theorie,,,,
1,A,**VVV**,Rehearsal,A2,Gefühl - Wert,,,,
1,A,**EEE**,Rehearsal,A2,Boden - Gebiet,,,,0
1,A,**VVV**,Rehearsal,A2,Tanne - Geige,,,,
1,A,**VVV**,Rehearsal,A2,Kopf - Leitung,,,,
1,A,**EEE**,Rehearsal,A2,Rede - Vorstellung,,,,0
1,A,**EEE**,Rehearsal,A2,Abschluss - Rathaus,,,,0
1,A,**VVV**,Rehearsal,A2,Antrag - Sport,,,,
1,A,**EEE**,Rehearsal,A2,Erde - Ordnung,,,,1
1,A,**EEE**,Rehearsal,A2,Wirtschaft - Vertrag,1,,1,1
1,A,**VVV**,Rehearsal,A2,Kreis - Erkenntnis,,,,
1,A,**VVV**,Rehearsal,A2,Kirche - Zimmer,,,,
1,A,**VVV**,Rehearsal,A2,Organisation - Statue,,,,
1,A,**EEE**,Rehearsal,A2,Regel - Bild,1,,1,1
1,A,**VVV**,Rehearsal,A2,Natur - Blick,,,,
1,A,**EEE**,Rehearsal,A2,Ofen - Gardinen,,,,1
1,A,**VVV**,Rehearsal,A2,Wort - Anwendung,,,,
1,A,**EEE**,Rehearsal,A2,Wirkung - Vertreter,,1,0.5,0
1,A,**VVV**,Rehearsal,A2,Erfahrung - Sand,,,,
1,A,**EEE**,Rehearsal,A2,Luft - Unterstützung,1,,1,1
1,A,**EEE**,Attention,B1,Verfassung - Locher,,,,0
1,A,**EEE**,Attention,B1,Rahmen - Abend,,,,1
1,A,**EEE**,Attention,B1,Wahrheit - Leute,,,,1
1,A,**VVV**,Attention,B1,Schwester - Entwicklung,,,,
1,A,**VVV**,Attention,B1,Gefahr - Zahn,,,,
1,A,**EEE**,Attention,B1,Beginn - Gans,,,,0
1,A,**EEE**,Attention,B1,Eltern - Salz,,,,1
1,A,**EEE**,Attention,B1,Gegner - Musik,,,,1
1,A,**VVV**,Attention,B1,Soldat - Bericht,,,,
1,A,**VVV**,Attention,B1,Schreibtisch - Stelle,,,,
1,A,**EEE**,Attention,B1,Schluß - Boot,,1,0.5,1
1,A,**VVV**,Attention,B1,Zukunft - Hilfe,,,,
1,A,**VVV**,Attention,B1,Schlüssel - Weg,,,,
1,A,**VVV**,Attention,B1,Wagen - Decke,,,,
1,A,**VVV**,Attention,B1,Mutter - Papier,,,,
1,A,**EEE**,Attention,B1,Klausur - Bauch,1,,1,1
1,A,**VVV**,Attention,B1,Gesetz - Fräulein,,,,
1,A,**EEE**,Attention,B1,Absicht - Welle,,,,0
1,A,**VVV**,Attention,B1,Freiheit - Reihe,,,,
