Subject,List,Nominal SP,word,Freq,Trialtype,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,OUTPUT ORDER,Correct,Rehearsals,Last RS,item-item,Kahana lag,Last R lag,GroupLastR,Group #R,fSP,Kahana lag+/-5,
1,1,1,BACK,HIGH,h,3,1,3,2,1,1,1,1,,1,,1,,1,,1,1,1,17,16,,,,15-16,5+,11,,
1,1,3,STAGE,HIGH,h,,,4,2,1,1,,,,1,,,,1,,1,2,1,11,16,HIGHHIGH,2,0,15-16,5+,13,2,
1,1,5,ROAD,HIGH,h,,,,,2,1,,1,,,,1,,,,1,3,1,6,16,HIGHHIGH,2,0,15-16,5+,16,2,
1,1,4,STREET,HIGH,h,,,,3,1,1,,1,,,,1,,1,,1,4,1,9,16,HIGHHIGH,-1,0,15-16,5+,15,-1,
1,1,2,RIGHT,HIGH,h,,2,3,2,1,1,1,,,,,,,,,,5,1,10,7,HIGHHIGH,-2,-9,1-8,5+,1,-2,
1,1,6,GROUP,HIGH,h,,,,,,2,1,,,,,,,,,,6,1,3,7,HIGHHIGH,4,0,1-8,3-4,2,4,
1,1,15,RATE,HIGH,h,,,,,,,,,,,,,,,2,1,7,1,3,16,HIGHHIGH,9,9,15-16,3-4,12,,
1,1,7,RANGE,HIGH,h,,,,,,,2,1,,,,,,,,,,0,3,8,,,,1-8,3-4,4,,
1,1,8,WEST,HIGH,h,,,,,,,,1,,,,,,,,,,0,1,8,,,,1-8,1-2,3,,
1,1,9,BILL,HIGH,h,,,,,,,,,1,1,,,,,,,,0,2,10,,,,9-10,1-2,5,,
1,1,10,MASS,HIGH,h,,,,,,,,,,2,,,,,,,,0,2,10,,,,9-10,1-2,6,,
1,1,11,WAY,HIGH,h,,,,,,,,,,,2,,,,,,,0,2,11,,,,11-12,1-2,7,,
1,1,12,THOUGHT,HIGH,h,,,,,,,,,,,,1,,,,,,0,1,12,,,,11-12,1-2,8,,
1,1,13,LOVE,HIGH,h,,,,,,,,,,,,,1,,,,,0,1,13,,,,13-14,1-2,9,,
1,1,14,JUST,HIGH,h,,,,,,,,,,,,,,1,,,,0,1,14,,,,13-14,1-2,10,,
1,1,16,FOOD,HIGH,h,,,,,,,,,,,,,,,,2,,0,2,16,,,,15-16,1-2,14,,
1,2,1,COWL,LOW,m,1,2,3,2,1,1,1,1,,1,,1,,1,,1,1,1,16,16,,,,15-16,5+,12,,
1,2,2,PRONG,LOW,m,,3,2,2,1,1,1,1,,1,,1,,1,,1,2,1,15,16,LOWLOW,1,0,15-16,5+,13,1,
1,2,5,CRYPT,LOW,m,,,,,2,1,1,1,,1,,1,,1,,1,3,1,9,16,LOWLOW,3,0,15-16,5+,15,3,
1,2,3,DEATH,HIGH,m,,,4,2,1,1,1,1,,1,,1,,1,,,4,1,13,14,LOWHIGH,-2,-2,13-14,5+,10,-2,
1,2,4,DENT,LOW,m,,,,4,1,1,1,1,2,1,,1,,1,,,5,1,13,14,HIGHLOW,1,0,13-14,5+,8,1,
1,2,12,CENT,HIGH,m,,,,,,,,,,,,2,,,1,,6,1,3,15,LOWHIGH,8,1,15-16,3-4,11,,
1,2,8,HAND,HIGH,m,,,,,,,,1,,,,,1,,,,7,1,2,13,HIGHHIGH,-4,-2,13-14,1-2,5,-4,
1,2,7,MOUTH,HIGH,m,,,,,,,2,,,,,,1,,,,8,1,3,13,HIGHHIGH,-1,0,13-14,3-4,6,-1,
1,2,16,DAY,HIGH,m,,,,,,,,,,,,,,,,2,9,1,2,16,HIGHHIGH,9,3,15-16,1-2,16,,
1,2,6,CROOK,LOW,m,,,,,,2,1,,,,,,,,,,,0,3,7,,,,1-8,3-4,1,,
1,2,9,WISH,HIGH,m,,,,,,,,,2,,,,,,,,,0,2,9,,,,9-10,1-2,2,,
1,2,10,GNAT,LOW,m,,,,,,,,,,1,,,,,,,,0,1,10,,,,9-10,1-2,3,,
1,2,11,BLUE,HIGH,m,,,,,,,,,,,1,,,,,,,0,1,11,,,,11-12,1-2,4,,
1,2,13,SCHOOL,HIGH,m,,,,,,,,,,,,,1,,,,,0,1,13,,,,13-14,1-2,7,,
1,2,14,NOUN,LOW,m,,,,,,,,,,,,,,1,,,,0,1,14,,,,13-14,1-2,9,,
1,2,15,REEL,LOW,m,,,,,,,,,,,,,,,1,1,,0,2,16,,,,15-16,1-2,14,,
1,3,14,GIG,LOW,m,,,,,,,,,,,,,,1,1,1,1,1,3,16,,,,15-16,3-4,16,,
1,3,16,WOMB,LOW,m,,,,,,,,,,,,,,,,2,2,1,2,16,LOWLOW,2,0,15-16,1-2,14,2,
1,3,3,SCIENCE,HIGH,m,,,2,2,2,1,1,1,1,,1,1,,,1,1,3,1,14,16,LOWHIGH,-13,0,15-16,5+,15,,
1,3,1,LICE,LOW,m,2,1,1,2,2,1,1,1,1,,,,1,,,,4,1,13,13,HIGHLOW,-2,-3,13-14,5+,12,-2,
1,3,2,PORE,LOW,m,,2,1,2,2,1,1,1,1,,1,,,,,,5,1,12,11,LOWLOW,1,-2,11-12,5+,6,1,
1,3,12,PEG,LOW,m,,,,,,,,,,,,1,,,,,6,1,1,12,LOWLOW,10,1,11-12,1-2,7,,
1,3,4,NOTE,HIGH,m,,,,3,2,1,,,,,,,,,,,,0,6,6,,,,1-8,5+,2,,
1,3,5,TEETH,HIGH,m,,,,,3,1,,1,,,,,,,,,,0,5,8,,,,1-8,5+,5,,
1,3,6,SLANG,LOW,m,,,,,,2,,,,,,,,,,,,0,2,6,,,,1-8,1-2,1,,
