,Unnamed: 0,subject,stim1,stim2,procedure,trial,source,rep,rep_prioritem1,rep_prioritem,rep_prioritem2,rep_prioritem3,rep_consec_value,rep_consec_lab,condition,word1,word2,correct_resp,acc_resp,rt,acc,stim2.x,stim2.y,studied,studied1,duration,onset,list,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,acc_pred
150,151,1,duty,nan,test,151,original,weak,1.0,1.0,1.0,1.0,-2.5,weak3,match1and1,duty,article,2.0,6.0,3702.0,0.0,article,article,studied (hits),studied (hits),3702,525.001,context1,context1.duty.nan.,0.7215403737043107,0.04694329890696852,0.0,1.0,0.8239543630459173,True,context1.duty.article.,False,1.0,0.5591588633474712,0.0,0.0,3.0,1.3265777406969135,0.39820229733414547
151,152,1,rifle,nan,test,152,original,strong,4.0,4.0,1.0,1.0,0.5,strong1,rep5and5,rifle,crisis,2.0,0.0,5788.0,0.0,crisis,crisis,studied (hits),studied (hits),5788,528.703,context1,context1.rifle.nan.,1.6348208431227196,0.6003258609983116,0.0,1.0,0.9294082779235328,True,context1.rifle.crisis.,False,1.0,0.7415759750490338,0.0,0.0,3.0,0.8592936152043816,0.8399323958677343
156,157,1,entrance,nan,test,157,original,weak,4.0,4.0,1.0,1.0,0.5,strong1,match1and1,entrance,store,2.0,0.0,4389.0,0.0,store,store,studied (hits),studied (hits),4389,550.3969999999999,context1,context1.entrance.nan.,0.9556624275069836,0.27013372554105575,0.0,1.0,0.988221516476926,True,context1.entrance.store.,False,1.0,0.5316808186694112,0.0,0.0,3.0,1.3143452259333217,0.5251158342368973
157,158,1,argument,nan,test,158,original,weak,1.0,1.0,5.0,1.0,-0.5,weak1,match1and1,argument,revolution,2.0,0.0,7923.0,0.0,revolution,revolution,studied (hits),studied (hits),7923,554.786,context1,context1.argument.nan.,0.9913508046962467,0.2717545317184686,0.0,1.0,0.9865600377328365,True,context1.argument.revolution.,False,1.0,0.5364450293268603,0.0,0.0,3.0,1.369423292180837,0.5445603163319984
158,159,1,sample,nan,test,159,original,weak,1.0,1.0,1.0,5.0,-1.5,weak2,match1and1,sample,garden,2.0,0.0,7977.0,0.0,garden,garden,studied (hits),studied (hits),7977,562.709,context1,context1.sample.nan.,0.9849630356193062,0.27882700498465124,0.0,1.0,0.981729561715568,True,context1.sample.garden.,False,1.0,0.5337661837713805,0.0,0.0,3.0,1.3183276913817406,0.5410864764286557
159,160,1,tree,nan,test,160,original,weak,1.0,1.0,1.0,1.0,-2.5,weak3,match1and1,tree,chair,2.0,1.0,2384.0,1.0,chair,chair,studied (hits),studied (hits),2384,570.6859999999999,context1,context1.tree.nan.,0.9238586276412231,0.2663664994590337,0.0,1.0,0.9818338958258264,True,context1.tree.chair.,False,1.0,0.5595993050038213,0.0,0.0,3.0,1.2775996855933602,0.5077358297969107
160,161,1,vote,nan,test,161,original,weak,5.0,5.0,4.0,1.0,1.5,strong2,match1and1,vote,check,2.0,1.0,1358.0,1.0,check,check,studied (hits),studied (hits),1358,573.0699999999999,context1,context1.vote.nan.,0.9400083453719779,0.2728267678878374,0.0,1.0,0.9906181805349318,True,context1.vote.check.,False,1.0,0.5589999868278857,0.0,0.0,3.0,1.271197439885769,0.5165651705590147
161,162,1,bay,nan,test,162,original,strong,5.0,5.0,1.0,1.0,0.5,strong1,rep5and5,bay,enemy,2.0,0.0,1761.0,0.0,enemy,enemy,studied (hits),studied (hits),1761,574.428,context1,context1.bay.nan.,1.6439152468489162,0.6232290691215893,0.0,1.0,0.994826273074474,True,context1.bay.enemy.,False,1.0,0.7886473417089487,0.0,0.0,2.869522560114282,0.7827541406290733,0.8429483212417532
162,163,1,phase,nan,test,163,original,weak,1.0,1.0,1.0,2.0,-1.5,weak2,match1and1,phase,doctor,2.0,0.0,3077.0,0.0,doctor,doctor,studied (hits),studied (hits),3077,576.189,context1,context1.phase.nan.,0.7734557660157074,0.08574745914939749,0.0,1.0,0.9951557207344294,True,context1.phase.doctor.,False,1.0,0.5147780593042002,0.0,0.0,3.0,1.3469128168642115,0.42589982440887075
166,167,1,jazz,nan,test,167,original,weak,1.0,1.0,1.0,1.0,-2.5,weak3,match1and1,jazz,aircraft,2.0,0.0,19192.0,0.0,aircraft,aircraft,studied (hits),studied (hits),19192,599.435,context1,context1.jazz.nan.,0.0,0.0,0.0,1.0,0.9870478804803071,True,context1.jazz.aircraft.,False,1.0,0.4755332590306202,0.0,0.0,3.0,1.5658523526169539,0.10614476063401612
167,168,1,dice,nan,test,168,original,weak,1.0,1.0,1.0,1.0,-2.5,weak3,match1and1,dice,signal,2.0,6.0,5626.0,0.0,signal,signal,studied (hits),studied (hits),5626,618.627,context1,context1.dice.nan.,0.8381959541903121,0.1474772397958287,0.0,1.0,0.9775655327633289,True,context1.dice.signal.,False,1.0,0.5015247333415169,0.0,0.0,3.0,1.3793032429108365,0.46094290212510786
168,169,1,goal,nan,test,169,original,weak,1.0,1.0,1.0,1.0,-2.5,weak3,match1and1,goal,moon,2.0,0.0,5790.0,0.0,moon,moon,studied (hits),studied (hits),5790,624.2529999999999,context1,context1.goal.nan.,0.872201025864403,0.20406250870376308,0.0,1.0,0.986350132320055,True,context1.goal.moon.,False,1.0,0.5264728471745461,0.0,0.0,3.0,1.3351067314430927,0.47948953550035694
