,subject,condition,procedure,trial,stim1,stim2,freq1,freq2,rt,freq,freq_prioritem1,freq_prioritem2,freq_prioritem3,studied,resp,resp.string,resp_type,resp.type.rescore,acc,fa,count,trianumber,list,onset,testtype,freq1_cat,freq2_cat,freq_cat,freq_prioritem1_cat,freq_prioritem2_cat,freq_prioritem3_cat,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,acc_pred
20,1,cued recall,test,21,reality,nan,3.22481427556818,,4.73,,2.47747079207921,3.2574670964125603,2.9280392903225803,1,0.0,pushing,hit,hit,1.0,0.0,20.0,1,context1,87.73100000000001,cued recall,"(3.19,3.27]",nan,nan,"(2.43,2.52]","(3.22,3.3]","(2.91,2.95]",context1.reality.nan.,0.7865258260161779,0.3613355091302558,0.0,1.0,0.8248453095730666,True,context1.reality.pushing.,False,1.0,0.6105988742383225,0.0,0.0,3.0,0.9083131500851045,0.3430549278635511
21,1,cued recall,test,22,partly,nan,2.31323430232558,,2.51,,2.6291415282392,3.0718078936605298,2.47759461998292,1,0.0,address,hit,hit,1.0,0.0,20.0,2,context1,90.241,cued recall,"(2.22,2.38]",nan,nan,"(2.6,2.66]","(3.05,3.1]","(2.43,2.52]",context1.partly.nan.,0.8246895011871422,0.3011214493360839,0.0,1.0,0.932089891682063,True,context1.partly.address.,False,1.0,0.5270356142027057,0.0,0.0,3.0,1.0098118017934086,0.38610475606161776
23,1,cued recall,test,24,raw,nan,2.7070877904960096,,1.65,,2.6291415282392,2.11133706076135,2.8828744906621404,1,0.0,fishing,hit,hit,1.0,0.0,20.0,4,context1,93.861,cued recall,"(2.66,2.74]",nan,nan,"(2.6,2.66]","[1.18,2.29]","(2.86,2.91]",context1.raw.nan.,0.8298973648709795,0.36048352590922084,0.0,1.0,0.9773942265321275,True,context1.raw.fishing.,False,1.0,0.5844507071361498,0.0,0.0,3.0,0.9235220634793418,0.3921037318393385
24,1,cued recall,test,25,judge,nan,3.55615435827042,,11.17,,2.6884457261724704,2.8833515372168304,2.47759461998292,1,1.0,nan,miss,miss,0.0,0.0,20.0,5,context1,105.031,cued recall,"(3.48,3.64]",nan,nan,"(2.66,2.72]","(2.86,2.91]","(2.43,2.52]",context1.judge.nan.,0.762163925327749,0.35100571519300483,0.0,1.0,0.9418004386062472,True,context1.judge.causing.,False,1.0,0.6170889093499545,0.0,0.0,3.0,0.8826260555514114,0.31656372959295315
25,1,cued recall,test,26,brothers,nan,3.4223257221458,,3.29,,2.8371507866462005,2.63019532302814,3.07200056497175,1,0.0,managed,hit,hit,1.0,0.0,20.0,6,context1,108.321,cued recall,"(3.38,3.48]",nan,nan,"(2.81,2.86]","(2.6,2.66]","(3.05,3.1]",context1.brothers.nan.,0.7556542076542211,0.3509244346682744,0.0,1.0,0.9682297359039542,True,context1.brothers.managed.,False,1.0,0.6093810193919522,0.0,0.0,3.0,0.8908824108210827,0.30963454415777264
26,1,cued recall,test,27,forming,nan,2.1068812962310703,,8.1,,2.88244009487666,2.47857994350283,3.35979297706798,1,0.0,conclusions,fa,fa,0.0,1.0,20.0,7,context1,116.421,cued recall,"(2,2.22]",nan,nan,"(2.86,2.91]","(2.43,2.52]","(3.3,3.43]",context1.forming.nan.,0.7981744896771337,0.2787515213561874,0.0,1.0,0.9598302529711992,True,context1.forming.obvious.,False,1.0,0.5128888242238614,0.0,0.0,3.0,1.0301674745112708,0.35601013092004574
27,1,cued recall,test,28,supper,nan,3.01589436241611,,5.37,,3.18419732582688,2.68889257624398,2.8828744906621404,1,0.0,ministered,fa,hit,1.0,1.0,20.0,8,context1,121.79100000000001,cued recall,"(2.99,3.04]",nan,nan,"(3.15,3.22]","(2.66,2.72]","(2.86,2.91]",context1.supper.nan.,0.7693945380106814,0.35035634879251504,0.0,1.0,0.9688447711629377,True,context1.supper.minister.,False,1.0,0.5920606825161827,0.0,0.0,3.0,0.9135409715780803,0.32433635147329243
28,1,cued recall,test,29,band,nan,3.4223257221458,,2.09,,2.92781050168476,3.1849140252976205,2.83800180774139,1,0.0,bell,hit,hit,1.0,0.0,20.0,9,context1,123.881,cued recall,"(3.38,3.48]",nan,nan,"(2.91,2.95]","(3.15,3.22]","(2.81,2.86]",context1.band.nan.,0.7406215875058949,0.3439056626104542,0.0,1.0,0.9832236040882724,True,context1.band.bell.,False,1.0,0.6057147178372706,0.0,0.0,3.0,0.8951359755591689,0.2938925383523232
29,1,cued recall,test,30,factory,nan,2.9609932389380496,,4.38,,2.9742416542750902,3.1849140252976205,2.68866371453138,1,0.0,apropriate,fa,hit,1.0,1.0,20.0,10,context1,128.261,cued recall,"(2.93,2.99]",nan,nan,"(2.95,3]","(3.15,3.22]","(2.66,2.72]",context1.factory.nan.,0.7490304303019752,0.32867274514724537,0.0,1.0,0.9792776022337801,True,context1.factory.appropriate.,False,1.0,0.5847686222556007,0.0,0.0,3.0,0.9230388658816946,0.3026527391942371
30,1,cued recall,test,31,uniform,nan,3.08399218585005,,2.09,,3.18419732582688,2.83837706993569,2.63003883001272,1,0.0,dull,hit,hit,1.0,0.0,20.0,11,context1,130.351,cued recall,"(3.04,3.11]",nan,nan,"(3.15,3.22]","(2.81,2.86]","(2.6,2.66]",context1.uniform.nan.,0.7397800223699189,0.338432977856734,0.0,1.0,0.9868270399692859,True,context1.uniform.dull.,False,1.0,0.5925358800146852,0.0,0.0,3.0,0.9123953520582768,0.29302230242942506
