,duration,freq,isi,list,onset,procedure,reduce_wm,sp,stim1,subject,testtype,trial,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,wmAvailable,wmSpent,acc_pred,acc
0,10.0,hf,10,context1,152.001,test,False,1,free,0,free_recall,13,free.context1.,0.02776523973367997,0.32743831762971615,0.5380493458962271,1.0,1.0,False,free.context1.,True,1.0,0.596462987955229,3.0,0.5563125925449915,0.000849576138293345,0.37
1,0.5,hf,10,context1,152.501,test,False,2,gotten,0,free_recall,14,gotten.context1.,0.04904149971484724,0.3324170962354777,0.5340663230116178,1.0,1.0,False,gotten.context1.,True,1.0,0.5988632834926005,2.8059842824550087,0.5487783826950565,0.004703350456997168,0.37
2,0.5,hf,10,context1,153.001,test,False,3,breaking,0,free_recall,15,breaking.context1.,0.06790042764659084,0.3379382592872546,0.5296493925701963,1.0,1.0,False,breaking.context1.,True,1.0,0.6008263806610847,2.6195027747599524,0.5413926222150033,0.01712976069774569,0.37
3,0.5,hf,10,context1,153.501,test,False,4,son,0,free_recall,16,son.context1.,0.08486920747578836,0.3441221551540129,0.5247022758767897,1.0,1.0,False,son.context1.,True,1.0,0.6064732930924077,2.4404070275449494,0.5287154175221378,0.04597518423640035,0.37
4,0.5,hf,10,context1,154.001,test,False,5,afternoon,0,free_recall,17,afternoon.context1.,0.1004355920495534,0.3511325373697945,0.5190939701041645,1.0,1.0,False,afternoon.context1.,True,1.0,0.6106657241156895,2.273988485022812,0.517330064740894,0.09868529484989924,0.37
5,0.5,hf,10,context1,154.501,test,False,6,stuff,0,free_recall,18,stuff.context1.,0.11508792065421568,0.35919980013046937,0.5126401598956245,1.0,1.0,False,stuff.context1.,True,1.0,0.6155198800782756,2.1189552952819177,0.5043268649402111,0.17977570610169208,0.37
6,0.5,hf,10,context1,155.001,test,False,7,asking,0,free_recall,19,asking.context1.,0.12936716637340143,0.36866191734044806,0.5050704661276416,1.0,1.0,False,asking.context1.,True,1.0,0.6211968137979167,1.9769253053417066,0.4892777471955854,0.2901812924928342,0.37
7,0.5,hf,10,context1,155.501,test,False,8,children,0,free_recall,20,children.context1.,0.14395385739282077,0.38004199031868313,0.4959664077450535,1.0,1.0,False,children.context1.,True,1.0,0.628025191108761,1.8499444331461214,0.47142876608467355,0.4279222046449436,0.37
8,0.5,hf,10,context1,156.001,test,False,9,yet,0,free_recall,21,yet.context1.,0.15984479602091958,0.3942097443734651,0.4846322045012279,1.0,1.0,False,yet.context1.,True,1.0,0.636525846624079,1.7408125420614482,0.4495745124248548,0.5881199109053058,0.37
9,0.5,hf,10,context1,156.501,test,False,10,door,0,free_recall,22,door.context1.,0.17878131077768847,0.4127646627602407,0.46978826979180743,1.0,1.0,False,door.context1.,True,1.0,0.6476587976561201,1.6535349046365937,0.4215077994674902,0.7594673615851413,0.37
10,0.5,hf,10,context1,157.001,test,False,11,contact,0,free_recall,23,contact.context1.,0.20449002103566608,0.4391385275639406,0.44868917794884755,1.0,1.0,False,contact.context1.,True,1.0,0.6633110654751555,1.5943239801691038,0.38252816130747164,0.9128952824306715,0.37
11,0.5,hf,10,context1,157.501,test,False,12,yours,0,free_recall,24,yours.context1.,0.24730735338800544,0.48299526925657,0.413603784594744,1.0,1.0,False,yours.context1.,True,1.0,0.6897971614211372,1.5740926938616324,0.3166014715763015,0.9928249399015037,0.37
12,10.0,lf,10,context2,309.501,test,False,1,parka,0,free_recall,13,parka.context2.,0.02776523973367997,0.32743831762971615,0.5380493458962271,1.0,1.0,False,parka.context2.,True,1.0,0.4699106583864669,3.0,0.7499046536322277,0.000849576138293345,0.35
13,0.5,lf,10,context2,310.001,test,False,2,reverso,0,free_recall,14,reverso.context2.,0.04904149971484725,0.33241709623547777,0.5340663230116178,1.0,1.0,False,reverso.context2.,True,1.0,0.4662004432946596,2.6123922213677724,0.7519261422741788,0.004703350456997171,0.35
14,0.5,lf,10,context2,310.501,test,False,3,assembling,0,free_recall,15,assembling.context2.,0.06790042764659085,0.3379382592872546,0.5296493925701963,1.0,1.0,False,assembling.context2.,True,1.0,0.4805309525385276,2.222762954093594,0.7223125720631798,0.01712976069774571,0.35
15,0.5,lf,10,context2,311.001,test,False,4,joked,0,free_recall,16,joked.context2.,0.08486920747578836,0.3441221551540129,0.5247022758767897,1.0,1.0,False,joked.context2.,True,1.0,0.4808187214782902,1.862747257030414,0.7163761337088072,0.04597518423640035,0.35
16,0.5,lf,10,context2,311.501,test,False,5,prejudged,0,free_recall,17,prejudged.context2.,0.1004355920495534,0.35113253736979455,0.5190939701041644,1.0,1.0,False,prejudged.context2.,True,1.0,0.4816823395929728,1.5086679983216071,0.7087708421897831,0.09868529484989924,0.35
17,0.5,lf,10,context2,312.001,test,False,6,grassers,0,free_recall,18,grassers.context2.,0.11508792065421569,0.3591998001304694,0.5126401598956244,1.0,1.0,False,grassers.context2.,True,1.0,0.4876159040350381,1.1621940311318242,0.6917522999344226,0.1797757061016922,0.35
18,0.5,lf,10,context2,312.501,test,False,7,thickening,0,free_recall,19,thickening.context2.,0.12936716637340145,0.3686619173404481,0.5050704661276415,1.0,1.0,False,thickening.context2.,True,1.0,0.49718201779786575,0.8327386061974017,0.6677131320654306,0.2901812924928344,0.35
19,0.5,lf,10,context2,313.001,test,False,8,doge,0,free_recall,20,doge.context2.,0.1439538573928208,0.38004199031868313,0.3595976526747862,1.0,1.0,False,doge.context2.,True,1.0,0.5057573800126423,0.5273223491319712,0.5273223491319712,0.4279222046449439,0.35
20,0.5,lf,10,context2,313.501,test,False,9,cheeriest,0,free_recall,21,cheeriest.context2.,0.15984479602091958,0.3942097443734651,0.0,1.0,1.0,False,cheeriest.context2.,True,1.0,0.5158514597299255,0.3622968750000001,0.3622968750000001,0.5881199109053058,0.35
21,0.5,lf,10,context2,314.001,test,False,10,mange,0,free_recall,22,mange.context2.,0.17878131077768847,0.4127646627602407,0.09581484797533033,1.0,1.0,False,mange.context2.,True,1.0,0.5327673507897848,0.3622968750000001,0.3622968750000001,0.7594673615851413,0.35
22,0.5,lf,10,context2,314.501,test,False,11,reunification,0,free_recall,23,reunification.context2.,0.20449002103566608,0.4391385275639406,0.2108133399149815,1.0,1.0,False,reunification.context2.,True,1.0,0.5540803658700255,0.3622968750000001,0.3622968750000001,0.9128952824306715,0.35
23,0.5,lf,10,context2,315.001,test,False,12,objectifying,0,free_recall,24,objectifying.context2.,0.24730735338800547,0.48299526925657,0.3238154522244906,1.0,1.0,False,objectifying.context2.,True,1.0,0.5874250720099288,0.3622968750000001,0.3622968750000001,0.9928249399015037,0.35
24,10.0,hf,0,context3,357.001,test,False,1,starts,0,free_recall,13,starts.context3.,0.04953454983897561,0.4263413713669859,0.4589269029064113,1.0,1.0,False,starts.context3.,True,1.0,0.654625905392366,3.0,0.4040596630219494,0.004877971049625,0.56
25,0.5,hf,0,context3,357.501,test,False,2,program,0,free_recall,14,program.context3.,0.07715778456686302,0.42992637341823337,0.45605890126541326,1.0,1.0,False,program.context3.,True,1.0,0.6563504968336644,2.9582372119780507,0.39900622030108734,0.02995664330490155,0.56
26,0.5,hf,0,context3,358.001,test,False,3,tight,0,free_recall,15,tight.context3.,0.10162655434181989,0.4337187137465902,0.45302502900272784,1.0,1.0,False,tight.context3.,True,1.0,0.6595351874380879,2.9215278666769633,0.3921797055206583,0.10405624153895937,0.56
27,0.5,hf,0,context3,358.501,test,False,4,press,0,free_recall,16,press.context3.,0.12326595817061202,0.4377416919307737,0.44980664645538104,1.0,1.0,False,press.context3.,True,1.0,0.6623717947753311,2.891645036156305,0.38557036076719975,0.23943752125888867,0.56
28,0.5,hf,0,context3,359.001,test,False,5,party,0,free_recall,17,party.context3.,0.14246695607870352,0.4420226352711448,0.4463818917830842,1.0,1.0,False,party.context3.,True,1.0,0.6652135811543212,2.8683715503891056,0.37875390193222624,0.41312879061148666,0.56
29,0.5,hf,0,context3,359.501,test,False,6,thought,0,free_recall,18,thought.context3.,0.15959082603142025,0.4465938668272748,0.44272490653818014,1.0,1.0,False,thought.context3.,True,1.0,0.6679563200963649,2.8519145234568795,0.37180242412599485,0.5856029914909544,0.56
30,0.5,hf,0,context3,360.001,test,False,7,walking,0,free_recall,19,walking.context3.,0.1749616304860941,0.4514939794448791,0.43880481644409675,1.0,1.0,False,walking.context3.,True,1.0,0.6708358348723229,2.8424089743308847,0.3644188610011393,0.7282041198331677,0.56
31,0.5,hf,0,context3,360.501,test,False,8,rid,0,free_recall,20,rid.context3.,0.18886899438204985,0.45676953869934844,0.4345843690405213,1.0,1.0,False,rid.context3.,True,1.0,0.6737880729182832,2.8402869883297455,0.35661891273034035,0.8317973834128052,0.56
32,0.5,hf,0,context3,361.001,test,False,9,made,0,free_recall,21,made.context3.,0.20157172391162764,0.462477399067656,0.43001808074587516,1.0,1.0,False,made.context3.,True,1.0,0.6774864394405936,2.8459649505994054,0.3476584854772943,0.9005233869739797,0.56
33,0.5,hf,0,context3,361.501,test,False,10,price,0,free_recall,22,price.context3.,0.21329909492732102,0.4686879165714035,0.42504966674287725,1.0,1.0,False,price.context3.,True,1.0,0.6807015979730298,2.860603340122111,0.3387200524857288,0.9432854905899652,0.56
34,0.5,hf,0,context3,362.001,test,False,11,dance,0,free_recall,23,dance.context3.,0.2242438060532884,0.475489505479499,0.41960839561640084,1.0,1.0,False,dance.context3.,True,1.0,0.6852936642495997,2.8841801626363823,0.3278925927813685,0.9686616289907356,0.56
35,0.5,hf,0,context3,362.501,test,False,12,none,0,free_recall,24,none.context3.,0.234517504166614,0.48299526925657,0.413603784594744,1.0,1.0,False,none.context3.,True,1.0,0.6897955367788661,2.9185844448550142,0.3166029960001449,0.9831194409166959,0.56
36,10.0,lf,0,context4,404.501,test,False,1,lugubriousness,0,free_recall,13,lugubriousness.context4.,0.04953454983897562,0.4263413713669859,0.4589269029064113,1.0,1.0,False,lugubriousness.context4.,True,1.0,0.5415311073652715,3.0,0.5514922733103368,0.004877971049625009,0.45
37,0.5,lf,0,context4,405.001,test,False,2,angelical,0,free_recall,14,angelical.context4.,0.07715778456686304,0.42992637341823337,0.45605890126541326,1.0,1.0,False,angelical.context4.,True,1.0,0.5441689003077124,2.8108046016896635,0.5440733398041093,0.029956643304901574,0.45
38,0.5,lf,0,context4,405.501,test,False,3,inestimable,0,free_recall,15,inestimable.context4.,0.10162655434181989,0.4337187137465902,0.45302502900272784,1.0,1.0,False,inestimable.context4.,True,1.0,0.5483259241539413,2.6290281368855544,0.5342550509842872,0.10405624153895937,0.45
39,0.5,lf,0,context4,406.001,test,False,4,reliance,0,free_recall,16,reliance.context4.,0.12326595817061202,0.4377416919307737,0.44980664645538104,1.0,1.0,False,reliance.context4.,True,1.0,0.5531889261985372,2.4570699609012676,0.523249126791945,0.23943752125888867,0.45
40,0.5,lf,0,context4,406.501,test,False,5,chitlings,0,free_recall,17,chitlings.context4.,0.14246695607870355,0.4420226352711448,0.4463818917830842,1.0,1.0,False,chitlings.context4.,True,1.0,0.5538410761205811,2.2961177091093226,0.5180440567161757,0.41312879061148694,0.45
41,0.5,lf,0,context4,407.001,test,False,6,laconic,0,free_recall,18,laconic.context4.,0.15959082603142027,0.4465938668272748,0.44272490653818014,1.0,1.0,False,laconic.context4.,True,1.0,0.5577169340979651,2.140370527393147,0.5079099907651501,0.5856029914909546,0.45
