,subject,cue_type,cued_recall_acc,free_recall_acc,MemCuePostprior2items,MemCuePostprior3items,cue_type_prioritem1,cue_type_prioritem2,cue_type_prioritem3,cue_type_prioritem4,cue_type_prioritem5,cue_type_consec_value,cue_type_consec_lab,stim1,stim2,list,trial,procedure,duration,addedTime,onset,epiname,epiA_cued_recall,epiA_free_recall,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,cued_recall_acc_pred,free_recall_acc_pred
49,1,tbf,0,0,na_tbf_?,na_na_tbf_?,tbf,nan,nan,nan,nan,-0.5,tbf1,word002,nan,context1,50,test,3000,0,105.001,word002.nan.context1.,0.721761031,0.278731604,0.242338268,0,1,0.926891666,TRUE,word002.word026.context1.,FALSE,1,0.469636788,0.3,0.3,3,0.281413799,0.310288047,0.182734074
50,1,tbf,0,0,tbf_tbf_?,na_tbf_tbf_?,tbf,tbf,nan,nan,nan,-1.5,tbf2,word003,nan,context1,51,test,3000,0,108.001,word003.nan.context1.,0.720758551,0.277729124,0.242338268,0,1,0.923553285,TRUE,word003.word027.context1.,FALSE,1,0.469636788,0.3,0.3,3,0.281413849,0.308678804,0.181154907
51,1,tbf,0,0,tbf_tbf_?,tbf_tbf_tbf_?,tbf,tbf,tbf,nan,nan,-2.5,tbf3,word004,nan,context1,52,test,3000,0,111.001,word004.nan.context1.,0.719846614,0.276817187,0.242338268,0,1,0.920371344,TRUE,word004.word028.context1.,FALSE,1,0.469636788,0.3,0.3,3,0.281413898,0.307218091,0.17972582
52,1,tbr,0,0,tbf_tbf_?,tbf_tbf_tbf_?,tbf,tbf,tbf,tbf,nan,-2.5,tbf3,word005,nan,context1,53,test,3000,0,114.001,word005.nan.context1.,0.844542286,0.401512859,0.367876803,0,1,0.917338792,TRUE,word005.word029.context1.,FALSE,1,0.557513762,0.3,0.3,3,0.563302241,0.525533012,0.431385211
53,1,tbf,0,0,tbf_tbr_?,tbf_tbf_tbr_?,tbr,tbf,tbf,tbf,tbf,0.5,tbr1,word006,nan,context1,54,test,3000,0,117.001,word006.nan.context1.,0.718217235,0.275187808,0.242338268,0,1,0.94940675,TRUE,word006.word030.context1.,FALSE,1,0.469636788,0.3,0.3,3,0.28141352,0.304615812,0.177190125
54,1,tbf,0,0,tbr_tbf_?,tbf_tbr_tbf_?,tbf,tbr,tbf,tbf,tbf,-0.5,tbf1,word007,nan,context1,55,test,3000,0,120.001,word007.nan.context1.,0.71747852,0.274449093,0.242338268,0,1,0.943024044,TRUE,word007.word031.context1.,FALSE,1,0.469636788,0.3,0.3,3,0.281413589,0.30343925,0.176047993
55,1,tbr,0,0,tbf_tbf_?,tbr_tbf_tbf_?,tbf,tbf,tbr,tbf,tbf,-1.5,tbf2,word008,nan,context1,56,test,3000,0,123.001,word008.nan.context1.,0.842319933,0.399290506,0.367876803,0,1,0.938203255,TRUE,word008.word032.context1.,FALSE,1,0.557513762,0.3,0.3,3,0.562381188,0.521502991,0.426182962
56,1,tbf,0,0,tbf_tbr_?,tbf_tbf_tbr_?,tbr,tbf,tbf,tbr,tbf,0.5,tbr1,word009,nan,context1,57,test,3000,0,126.001,word009.nan.context1.,0.716121111,0.273091684,0.242338268,0,1,0.960261432,TRUE,word009.word033.context1.,FALSE,1,0.469636788,0.3,0.3,3,0.281413422,0.301282596,0.173961476
57,1,tbr,1,1,tbr_tbf_?,tbf_tbr_tbf_?,tbf,tbr,tbf,tbf,tbr,-0.5,tbf1,word010,nan,context1,58,test,3000,0,129.001,word010.nan.context1.,0.841032402,0.398002975,0.367876803,0,1,0.953933661,TRUE,word010.word034.context1.,FALSE,1,0.557513762,0.3,0.3,3,0.561862688,0.519167147,0.42317482
58,1,tbr,1,0.5,tbf_tbr_?,tbr_tbf_tbr_?,tbr,tbf,tbr,tbf,tbf,0.5,tbr1,word011,nan,context1,59,test,3000,0,132.001,word011.nan.context1.,0.840435092,0.397405665,0.367876803,0,1,0.96848779,TRUE,word011.word035.context1.,FALSE,1,0.557513762,0.3,0.3,3,0.561517652,0.518083275,0.421780793
59,1,tbr,0,0,tbr_tbr_?,tbf_tbr_tbr_?,tbr,tbr,tbf,tbr,tbf,1.5,tbr2,word012,nan,context1,60,test,3000,0,135.001,word012.nan.context1.,0.839865105,0.396835678,0.367876803,0,1,0.97558566,TRUE,word012.word036.context1.,FALSE,1,0.557513762,0.3,0.3,3,0.561396346,0.51704886,0.420451447
60,1,tbf,0,0,tbr_tbr_?,tbr_tbr_tbr_?,tbr,tbr,tbr,tbf,tbr,2.5,tbr3,word013,nan,context1,61,test,3000,0,138.001,word013.nan.context1.,0.713781679,0.270752252,0.242338268,0,1,0.979565454,TRUE,word013.word037.context1.,FALSE,1,0.469636788,0.3,0.3,3,0.281413306,0.297582,0.17040253
61,1,tbf,0,0,tbr_tbf_?,tbr_tbr_tbf_?,tbf,tbr,tbr,tbr,tbf,-0.5,tbf1,word014,nan,context1,62,test,3000,0,141.001,word014.nan.context1.,0.713259954,0.270230527,0.242338268,0,1,0.973383865,TRUE,word014.word038.context1.,FALSE,1,0.469636788,0.3,0.3,3,0.281413335,0.296759554,0.169615241
62,1,tbr,0,0,tbf_tbf_?,tbr_tbf_tbf_?,tbf,tbf,tbr,tbr,tbr,-1.5,tbf2,word015,nan,context1,63,test,3000,0,144.001,word015.nan.context1.,0.834376911,0.391347484,0.363955476,0,1,0.968322704,TRUE,word015.word039.context1.,FALSE,1,0.557513762,0.3,0.3,3,0.56152084,0.507084003,0.407700221
63,1,tbr,0,0,tbf_tbr_?,tbf_tbf_tbr_?,tbr,tbf,tbf,tbr,tbr,0.5,tbr1,word016,nan,context1,64,test,3000,0,147.001,word016.nan.context1.,0.785407846,0.342378419,0.315466681,0,1,0.977314385,TRUE,word016.word040.context1.,FALSE,1,0.557513762,0.3,0.3,3,0.561371464,0.418699811,0.299628937
64,1,tbr,0,0.5,tbr_tbr_?,tbf_tbr_tbr_?,tbr,tbr,tbf,tbf,tbr,1.5,tbr2,word017,nan,context1,65,test,3000,0,150.001,word017.nan.context1.,0.754053172,0.311023745,0.28457363,0,1,0.981567851,TRUE,word017.word041.context1.,FALSE,1,0.557513762,0.3,0.3,3,0.561318019,0.363922698,0.238097308
65,1,tbf,0,0,tbr_tbr_?,tbr_tbr_tbr_?,tbr,tbr,tbr,tbf,tbf,2.5,tbr3,word018,nan,context1,66,test,3000,0,153.001,word018.nan.context1.,0.473388845,0.030359418,0.004353476,0,1,0.983920864,TRUE,word018.word042.context1.,FALSE,1,0.464579718,0.3,0.3,3,0.286803571,0.051976219,0.00851542
