,Unnamed: 0,subject,list,trial,stim1,freq,acc,nominal.sp,composition,freq_prioritem1,freq_prioritem,freq_prioritem2,freq_prioritem3,freq_consec_value,freq_consec_lab,source,procedure,duration,onset,testtype,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,wmAvailable,wmSpent,acc_pred
16,17,1,context1,17,thought,high,0,12,pure,high,high,high,high,3.5,high4,original,test,3000,48.001,free_recall,context1.thought.,0.5503010231912555,0.4856779537580188,0.41145763699358495,1.0,0.9718623311678009,False,context1.thought.,True,1.0,0.6914067722548113,2.8,0.3167345606347578,0.4962850570204536
17,18,1,context1,18,food,high,0,16,pure,high,high,high,high,3.5,high4,original,test,3000,51.001,free_recall,context1.food.,0.6340954914247968,0.5636017588932026,0.3491185928854379,1.0,0.9732953866663862,False,context1.food.,True,1.0,0.7381610381922712,2.8,0.19969806768572157,0.5920384998119739
18,19,1,context1,19,range,high,0,7,pure,high,high,high,high,3.5,high4,original,test,3000,54.001,free_recall,context1.range.,0.47480072798758843,0.4176511452772454,0.4658790837782038,1.0,0.9745763465632968,False,context1.range.,True,1.0,0.6386299215350895,2.8,0.4314269415960439,0.41003610158743714
19,20,1,context1,20,mass,high,0,10,pure,high,high,high,high,3.5,high4,original,test,3000,57.001,free_recall,context1.mass.,0.48838741155318527,0.4311663725691163,0.455066901944707,1.0,0.9757288237785017,False,context1.mass.,True,1.0,0.638429658871388,2.8,0.42121789912219487,0.4253612502386588
20,21,1,context1,21,west,high,0,8,pure,high,high,high,high,3.5,high4,original,test,3000,60.001,free_recall,context1.west.,0.4662701200332547,0.41183114616102795,0.47053508307117764,1.0,0.9767717254286913,False,context1.west.,True,1.0,0.6468227068575558,2.8,0.4262104718068238,0.4004821722037295
21,22,1,context1,22,rate,high,1,15,pure,high,high,high,high,3.5,high4,original,test,3000,63.001,free_recall,context1.rate.,0.5159257961251585,0.4586209656715585,0.4331032274627532,1.0,0.9777203775658949,False,context1.rate.,True,1.0,0.6662133722195338,2.8,0.3672978844545659,0.4567475502442967
22,23,1,context1,23,way,high,0,11,pure,high,high,high,high,3.5,high4,original,test,3000,66.001,free_recall,context1.way.,0.4705494177665525,0.4176511452772454,0.4658790837782038,1.0,0.9785873405905352,False,context1.way.,True,1.0,0.6505906871663473,2.8,0.417376996722867,0.40526775216007843
23,24,1,context1,24,group,high,1,6,pure,high,high,high,high,3.5,high4,original,test,3000,69.001,free_recall,context1.group.,0.4383327563722667,0.3888881438503569,0.48888948491971446,1.0,0.9793830105518333,False,context1.group.,True,1.0,0.6332563628487526,2.8,0.4598609480217043,0.3696359978163606
24,25,1,context1,25,just,high,0,14,pure,high,high,high,high,3.5,high4,original,test,3000,72.001,free_recall,context1.just.,0.47533702355055685,0.4240565560457281,0.4607547551634175,1.0,0.9801160693873134,False,context1.just.,True,1.0,0.6544339336274368,2.8,0.408065389692994,0.41063858248654217
25,26,1,context1,26,love,high,0,13,pure,high,high,high,high,3.5,high4,original,test,3000,75.001,free_recall,context1.love.,0.4611794912441685,0.41183114616102795,0.47053508307117764,1.0,0.9807938267398212,False,context1.love.,True,1.0,0.6470986876966167,2.8,0.4257818218123558,0.39480872518875876
